,Unnamed: 0,Unnamed: 0.1,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1250,1248,1248,2016418,2016,TOR,IND,1613.532831,1538.429686,0.732623614,0.267376386,98,87,Indiana,16,32,18,21,320,27,26,21,24,-380,195,-8,H,2552,1,W ,103.375,98.625,81.75,0.44925,60,0.488125,21.75,0.3395,30.875,0.749125,81.125,0.43925,53.75,0.4715,27.375,0.37175,23.5,0.720375,1248,2016418,2016,TOR,IND,1613.532831,1538.429686,0.732623614,0.267376386,98,87,Indiana,16,32,18,21,320,27,26,21,24,-380,195,-8,H,2552,1,W ,100.5,96.75,81.875,0.444625,58.75,0.46825,23.125,0.364375,25.75,0.78925,81.375,0.440875,58.25,0.47775,23.125,0.35125,21.125,0.779625
1251,1251,1251,2016419,2016,ATL,BOS,1608.254951,1571.255295,0.687537822,0.312462178,89,72,Boston,7,21,18,26,225,24,19,18,28,-265,206,-6.5,H,2553,0,W ,102.25,96.75,87.125,0.434375,56,0.489375,31.125,0.329375,20.25,0.810625,89.75,0.3995,62.375,0.422625,27.375,0.340125,22.75,0.709375,1251,2016419,2016,ATL,BOS,1608.254951,1571.255295,0.687537822,0.312462178,89,72,Boston,7,21,18,26,225,24,19,18,28,-265,206,-6.5,H,2553,0,W ,105.5,99.625,86,0.4505,55.75,0.489875,30.25,0.364375,21.25,0.79425,89.875,0.404,62.875,0.446,27,0.315,24.375,0.783
1252,1252,1252,2016419,2016,SAS,MEM,1769.569763,1450.355746,0.917827583,0.082172417,94,68,Memphis,11,24,18,15,2000,22,27,21,24,-10000,186,-17.5,H,2554,0,W ,101.5,88.875,79.25,0.477125,61,0.499875,18.25,0.3945,23.25,0.822,81.125,0.440375,62.125,0.466,19,0.36,15,0.715375,1252,2016419,2016,SAS,MEM,1769.569763,1450.355746,0.917827583,0.082172417,94,68,Memphis,11,24,18,15,2000,22,27,21,24,-10000,186,-17.5,H,2554,0,W ,109.25,91.75,76.625,0.515,51,0.56925,25.625,0.420875,23.5,0.83725,86,0.430875,66.875,0.462,19.125,0.314375,17.25,0.673125
1253,1254,1254,2016420,2016,CLE,DET,1644.88459,1512.106456,0.792486431,0.207513569,107,90,Detroit,28,25,15,22,575,23,32,27,25,-850,201.5,-11,H,2555,7,W ,108,99.625,85.875,0.465,53.25,0.50825,32.625,0.393625,20.25,0.73225,81.5,0.458,56.875,0.495625,24.625,0.35475,24.5,0.680875,1254,2016420,2016,CLE,DET,1644.88459,1512.106456,0.792486431,0.207513569,107,90,Detroit,28,25,15,22,575,23,32,27,25,-850,201.5,-11,H,2555,7,W ,107.375,100,87.625,0.4795,64.125,0.498125,23.5,0.4215,17.875,0.742875,81,0.449375,57.375,0.4745,23.625,0.375125,26.25,0.69425
1254,1255,1255,2016420,2016,LAC,POR,1641.479106,1576.76206,0.72075053,0.27924947,102,81,Portland,17,26,18,20,330,22,25,20,35,-400,210.5,-8,H,2556,1,W ,107.625,90.125,80.375,0.50625,58.75,0.54175,21.625,0.41025,28.125,0.644125,86.75,0.382875,61.25,0.426375,25.5,0.28975,21.875,0.738375,1255,2016420,2016,LAC,POR,1641.479106,1576.76206,0.72075053,0.27924947,102,81,Portland,17,26,18,20,330,22,25,20,35,-400,210.5,-8,H,2556,1,W ,114.75,105.375,83.875,0.512375,62.5,0.528875,21.375,0.452625,26,0.73125,87.875,0.415,59.125,0.450125,28.75,0.3395,29,0.784
1255,1253,1253,2016420,2016,MIA,CHO,1595.518872,1569.66721,0.673588471,0.326411529,115,103,Charlotte,29,31,18,25,175,29,43,19,24,-200,197.5,-4.5,H,2557,5,W ,113.625,96.75,82.75,0.54175,66.25,0.56875,16.5,0.439625,21.5,0.78225,79,0.455,61.5,0.500125,17.5,0.283625,25.125,0.794625,1253,2016420,2016,MIA,CHO,1595.518872,1569.66721,0.673588471,0.326411529,115,103,Charlotte,29,31,18,25,175,29,43,19,24,-200,197.5,-4.5,H,2557,5,W ,105.125,101.25,83.125,0.478375,58,0.496625,25.125,0.423375,21.125,0.757625,82.125,0.428125,55.875,0.46425,26.25,0.3275,26.25,0.84375
1256,1256,1256,2016421,2016,DAL,OKC,1531.08824,1682.548944,0.426478951,0.573521049,102,131,OklahomaCity,27,31,39,34,-550,21,27,30,24,425,198.5,9.5,A,2558,0,L ,103,107.125,80.625,0.4595,52.25,0.522625,28.375,0.356625,23.625,0.815875,84.25,0.465125,56.625,0.502625,27.625,0.36275,23.75,0.77825,1256,2016421,2016,DAL,OKC,1531.08824,1682.548944,0.426478951,0.573521049,102,131,OklahomaCity,27,31,39,34,-550,21,27,30,24,425,198.5,9.5,A,2558,0,L ,105.75,111.375,88.875,0.4375,61.75,0.484625,27.125,0.324375,25.875,0.74075,84.25,0.4725,57.625,0.516,26.625,0.37925,28.625,0.752375
1257,1258,1258,2016421,2016,HOU,GSW,1544.567209,1794.180558,0.297079574,0.702920426,97,96,GoldenState,18,30,24,24,-130,31,24,23,19,110,215.5,3,H,2559,5,W ,109.375,102.75,88.5,0.465125,56.375,0.52075,32.125,0.379625,24.125,0.665125,85.25,0.435875,56.25,0.474375,29,0.3585,23.75,0.755625,1258,2016421,2016,HOU,GSW,1544.567209,1794.180558,0.297079574,0.702920426,97,96,GoldenState,18,30,24,24,-130,31,24,23,19,110,215.5,3,H,2559,5,W ,99.125,100.5,88.75,0.414625,63.75,0.454375,25,0.314375,22.875,0.79025,86,0.442125,54.625,0.51125,31.375,0.31575,18.375,0.78425
1258,1257,1257,2016421,2016,IND,TOR,1533.264833,1618.697684,0.520951537,0.479048463,85,101,Toronto,24,29,18,30,-110,17,19,23,26,-110,195,0,A,2560,3,L ,103.125,100.25,82,0.474375,59.125,0.523125,22.875,0.34175,21.875,0.777375,85.75,0.4425,58.875,0.501125,26.875,0.313375,20,0.8,1257,2016421,2016,IND,TOR,1533.264833,1618.697684,0.520951537,0.479048463,85,101,Toronto,24,29,18,30,-110,17,19,23,26,-110,195,0,A,2560,3,L ,93,101,82.5,0.41825,61.375,0.452375,21.125,0.316875,21.75,0.772,80.75,0.46275,54.125,0.506625,26.625,0.374375,20.625,0.793125
1259,1260,1260,2016422,2016,BOS,ATL,1563.005867,1616.504379,0.566524263,0.433475737,111,103,Atlanta,20,25,33,25,140,37,20,22,32,-160,203,-3,H,2561,6,W ,105.5,102,85,0.449,62.625,0.4895,22.375,0.34225,27.625,0.7955,86.875,0.445125,62.125,0.497125,24.75,0.31625,22,0.76275,1260,2016422,2016,BOS,ATL,1563.005867,1616.504379,0.566524263,0.433475737,111,103,Atlanta,20,25,33,25,140,37,20,22,32,-160,203,-3,H,2561,6,W ,105.5,105.75,87.875,0.440375,60.625,0.481625,27.25,0.3615,25.625,0.7535,86.25,0.44775,53.75,0.51625,32.5,0.335875,22.25,0.769
