,date,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Open OU,Unnamed: 19,Close OU,Unnamed: 21,h_team,h_1st,h_2nd,h_3rd,h_4th,h_5th,h_6th,h_7th,h_8th,h_9th,h_final,h_ML,h_win,v_win,Past_10_v,Past_10_h,season,neutral,team1,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
0,2015405,405,997,V,STL,WAINWRIGHT-R,1,1,0,0,1,0,0,0,0,3,-115,-102,7.5,-105,7,-115,CUB,0,0,0,0,0,0,0,0,0,0,105,0,1,,,2015,0,CHC,1483.362,1517.753,0.485050606,0.514949394,1481.209,1519.906,1485.655,1517.667,Jon Lester,Adam Wainwright,58.116,56.381,41.6655,27.213,0.512858638,0.487141362,1483.35,1519.972,0,3
1,2015406,406,903,V,NYM,BCOLON-R,0,0,0,0,0,2,1,0,0,3,170,150,7,100,7,-115,WAS,0,0,0,1,0,0,0,0,0,1,-190,0,1,,,2015,0,WSN,1536.627,1503.811,0.58104366,0.41895634,1534.394,1506.044,1535.956,1503.551,Max Scherzer,Bartolo Colon,56.082,49.254,14.8379,-2.9798,0.602020268,0.397979732,1533.593,1505.914,1,3
2,2015406,406,913,V,TOR,HUTCHISON-R,0,0,5,0,0,0,1,0,0,6,135,125,8,100,8,100,NYY,0,0,0,0,0,1,0,0,0,1,-150,0,1,,,2015,0,NYY,1509.02,1511.837,0.53044707,0.46955293,1505.884,1514.973,1511.713,1509.927,Masahiro Tanaka,Drew Hutchison,52.827,50.54,5.6353,-0.0376,0.545742613,0.454257387,1508.446,1513.193,1,6
3,2015406,406,901,V,COL,KKENDRICK-R,4,0,2,4,0,0,0,0,0,10,140,138,8,-115,9,-110,MIL,0,0,0,0,0,0,0,0,0,0,-160,0,1,,,2015,0,MIL,1495.172,1477.182,0.560135962,0.439864038,1489.963,1482.392,1494.587,1475.952,Kyle Lohse,Kyle Kendrick,50.659,44.762,2.6837,-18.5556,0.596078911,0.403921089,1488.969,1481.57,0,10
4,2015406,406,915,V,MIN,PHUGHES-R,0,0,0,0,0,0,0,0,0,0,170,141,7.5,-110,8,-115,DET,0,3,0,0,0,1,0,0,0,4,-190,1,0,,,2015,0,DET,1515.824,1480.418,0.584668598,0.415331402,1517.814,1478.428,1514.379,1478.259,David Price,Phil Hughes,58.778,54.501,36.1477,31.7203,0.591837012,0.408162988,1516.301,1476.337,4,0
5,2015406,406,923,V,CLE,CKLUBER-R,0,0,0,0,0,0,0,0,0,0,-125,-110,7.5,-110,7.5,-104,HOU,0,0,0,0,0,1,0,1,0,2,110,1,0,,,2015,0,HOU,1480.986,1515.769,0.484486996,0.515513004,1482.866,1513.889,1479.927,1518.836,Dallas Keuchel,Corey Kluber,53.706,61.15,18.1561,40.2461,0.446561123,0.553438877,1481.958,1516.805,2,0
6,2015406,406,907,V,PIT,FLIRIANO-L,0,0,0,0,0,0,0,2,0,2,115,113,7,100,7,105,CIN,0,0,1,1,0,0,0,3,0,5,-130,1,0,,,2015,0,CIN,1499.002,1521.629,0.501975896,0.498024104,1501.229,1519.403,1500.499,1524.168,Johnny Cueto,Francisco Liriano,59.621,53.134,37.2616,11.3317,0.540539693,0.459460307,1502.508,1522.158,5,2
7,2015406,406,925,V,TEX,YGALLARDO-R,0,0,0,0,0,0,0,0,0,0,135,146,7,-110,7,-115,OAK,2,0,0,2,0,0,3,1,0,8,-150,1,0,,,2015,0,OAK,1522.138,1486.321,0.585242998,0.414757002,1525.216,1483.243,1522.227,1484.871,Sonny Gray,Yovani Gallardo,54.013,47.672,11.7688,-8.7561,0.615654187,0.384345813,1524.952,1482.146,8,0
8,2015406,406,927,V,BOS,CBUCHHOLZ-R,1,0,1,0,2,0,0,0,4,8,-109,-104,7.5,100,7.5,100,PHI,0,0,0,0,0,0,0,0,0,0,-101,0,1,,,2015,0,PHI,1487.326,1498.835,0.517968253,0.482031747,1483.22,1502.941,1486.341,1500.883,Cole Hamels,Clay Buchholz,57.727,49.96,38.5212,1.6403,0.569128456,0.430871544,1481.727,1505.498,0,8
9,2015406,406,917,V,BAL,CTILLMAN-R,1,0,0,0,2,1,0,1,1,6,110,113,7.5,100,7,-115,TAM,0,0,0,0,0,0,1,1,0,2,-125,0,1,,,2015,0,TBD,1505.806,1541.147,0.483684783,0.516315217,1503.287,1543.666,1507.785,1540.854,Chris Archer,Chris Tillman,52.756,53.21,4.0373,8.8736,0.480126393,0.519873607,1505.262,1543.377,2,6
10,2015406,406,905,V,ATL,JTEHERAN-R,1,0,0,0,0,1,0,0,0,2,110,137,7,100,7,-105,MIA,0,0,1,0,0,0,0,0,0,1,-125,0,1,,,2015,0,FLA,1489.727,1495.091,0.526793669,0.473206331,1488.213,1496.605,1490.018,1496.192,Henderson Alvarez,Julio Teheran,51.356,52.863,13.8086,11.5573,0.529005339,0.470994661,1488.483,1497.728,1,2
