,date,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Open OU,Unnamed: 19,Close OU,Unnamed: 21,h_team,h_1st,h_2nd,h_3rd,h_4th,h_5th,h_6th,h_7th,h_8th,h_9th,h_final,h_ML,h_win,v_win,Past_10_v,Past_10_h,season,neutral,team1,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
0,2014331,331,905,V,ATL,JTEHERAN-R,0,0,0,0,0,0,0,0,0,0,-115,-113,7.5,-110,8,-105,MIL,0,0,0,2,0,0,0,0,0,2,105,1,0,,,2014,0,MIL,1501.977,1525.346,0.500908081,0.499091919,1503.87,1523.453,1499.615,1524.784,Yovani Gallardo,Julio Teheran,50.063,50.542,0.7896,-0.4747,0.501460533,0.498539467,1501.493,1522.906,2,0
1,2014331,331,909,V,COL,DELAROSA-L,0,0,0,0,0,1,0,0,0,1,140,130,6.5,-110,6.5,100,MIA,0,0,1,0,5,1,0,3,0,10,-155,1,0,,,2014,0,FLA,1472.541,1482.33,0.520439875,0.479560125,1476.6,1478.271,1474.371,1481.085,Jose Fernandez,Jorge de la Rosa,59.231,51.97,44.274,13.5125,0.574507258,0.425492742,1477.853,1477.603,10,1
2,2014331,331,921,V,CLE,JMASTERSO-R,0,0,0,0,0,0,0,0,2,2,120,130,7,-105,7,-114,OAK,0,0,0,0,0,0,0,0,0,0,-135,0,1,,,2014,0,OAK,1539.804,1518.841,0.564348126,0.435651874,1537.624,1521.02,1542.484,1520.415,Sonny Gray,Justin Masterson,51.444,54.744,0.1833,17.0328,0.547669242,0.452330758,1540.384,1522.515,0,2
3,2014331,331,919,V,MIN,RNOLASCO-R,0,0,2,0,0,0,0,1,0,3,145,155,7,-105,7,-120,CWS,0,2,2,0,0,1,0,0,0,5,-165,1,0,,,2014,0,CHW,1471.266,1455.348,0.557195174,0.442804826,1472.83,1453.784,1472.662,1454.276,Chris Sale,Ricky Nolasco,57.519,50.556,36.1477,20.1348,0.586336767,0.413663233,1474.091,1452.847,5,3
4,2014331,331,915,V,BOS,JLESTER-L,0,0,0,1,0,0,0,0,0,1,-115,-115,8.5,-115,9,105,BAL,0,1,0,0,0,0,1,0,0,2,105,1,0,,,2014,0,BAL,1516.659,1558.985,0.473651197,0.526348803,1518.134,1557.51,1514.563,1558.601,Chris Tillman,Jon Lester,54.138,57.534,21.0466,26.4422,0.466615607,0.533384393,1516.062,1557.101,2,1
5,2014331,331,923,V,SEA,FHERNANDZ-R,0,1,0,0,0,1,2,0,6,10,120,104,6.5,-110,7,-114,LAA,2,0,1,0,0,0,0,0,0,3,-135,0,1,,,2014,0,ANA,1511.517,1477.989,0.582041058,0.417958942,1507.105,1482.401,1511.323,1477.885,Jered Weaver,Felix Hernandez,55.44,55.835,28.5337,29.6899,0.579986773,0.420013227,1506.887,1482.321,3,10
6,2014331,331,925,V,PHI,CLEE-L,0,6,0,1,2,4,0,1,0,14,-115,-105,8,-110,7.5,-115,TEX,0,4,3,0,1,0,2,0,0,10,105,0,1,,,2014,0,TEX,1526.809,1477.388,0.604116061,0.395883939,1523.611,1480.586,1528.187,1475.318,Tanner Scheppers,Cliff Lee,47.4,59.728,-19.7635,49.6837,0.514708173,0.485291827,1525.562,1477.943,10,14
7,2014331,331,917,V,TOR,RDICKEY-R,0,0,0,0,0,0,0,2,0,2,145,144,7,100,7,-105,TAM,1,2,1,0,2,0,0,3,0,9,-165,1,0,,,2014,0,TBD,1526.106,1496.23,0.576918258,0.423081742,1529.065,1493.271,1529.907,1493.183,David Price,R.A. Dickey,57.475,53.469,27.9885,22.3156,0.598851617,0.401148383,1532.66,1490.43,9,2
8,2014331,331,907,V,STL,WAINWRIGHT-R,0,0,0,0,0,0,1,0,0,1,-115,-120,7,-110,7,-110,CIN,0,0,0,0,0,0,0,0,0,0,105,0,1,,,2014,0,CIN,1523.946,1541.699,0.508989187,0.491010813,1522.466,1543.178,1524.405,1543.468,Johnny Cueto,Adam Wainwright,52.506,58.427,4.5496,31.4759,0.469587624,0.530412376,1523.063,1544.811,0,1
9,2014401,401,961,V,TOR,DHUTCHISO-R,3,0,0,1,0,0,0,0,0,4,140,145,8,100,7.5,-105,TAM,0,0,0,0,0,0,0,1,1,2,-160,0,1,,,2014,0,TBD,1529.065,1493.271,0.58521086,0.41478914,1526.75,1495.586,1532.66,1490.43,Alex Cobb,Drew Hutchison,56.738,49.164,24.1533,2.867,0.623348247,0.376651753,1530.151,1492.939,2,4
