,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,2H,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
299,299,20161203,2017,GSW,PHO,1725.427342,1360.726218,0.935537327,0.064462673,138,109,Phoenix,30,27,27,25,1600,120,29,42,30,-6000,228,-16.5,H,2919,3,W ,124.875,108.75,85.625,0.53075,53.25,0.573125,32.375,0.471,26.5,0.76825,90.25,0.4505,61.125,0.52125,29.125,0.308625,24.5,0.767875,299,20161203,2017,GSW,PHO,1725.427342,1360.726218,0.935537327,0.064462673,138,109,Phoenix,30,27,27,25,1600,120,29,42,30,-6000,228,-16.5,H,2919,3,W ,115.5,108.5,85.375,0.494,60.75,0.517125,24.625,0.417625,27.875,0.74575,87.375,0.466875,63.25,0.50725,24.125,0.35725,24.75,0.753
295,295,20161203,2017,MEM,LAL,1486.147543,1418.874415,0.723702362,0.276297638,103,100,LALakers,25,37,20,18,125,97,29,28,21,-145,198,-2.5,H,2920,17,W ,93.375,95.625,83.125,0.411,59.375,0.467125,23.75,0.26925,23.75,0.743125,76.5,0.427875,50.5,0.46725,26,0.346375,28.125,0.746875,295,20161203,2017,MEM,LAL,1486.147543,1418.874415,0.723702362,0.276297638,103,100,LALakers,25,37,20,18,125,97,29,28,21,-145,198,-2.5,H,2920,17,W ,109.375,99.5,86.375,0.47075,59.5,0.521875,26.875,0.360625,24.75,0.75875,84.25,0.44625,61,0.498875,23.25,0.3225,23.25,0.724875
291,291,20161203,2017,MIL,BRK,1468.744424,1312.990408,0.813397383,0.186602617,112,103,Brooklyn,22,18,32,31,425,113,25,25,37,-550,214.5,-10,H,2921,19,W ,109,102.625,83.25,0.488125,59.5,0.5365,23.75,0.36925,25.375,0.749375,83.875,0.42525,51.625,0.487,32.25,0.32875,25.75,0.811,291,20161203,2017,MIL,BRK,1468.744424,1312.990408,0.813397383,0.186602617,112,103,Brooklyn,22,18,32,31,425,113,25,25,37,-550,214.5,-10,H,2921,19,W ,116.25,105.5,91.25,0.483875,64.5,0.54175,26.75,0.34525,25.25,0.763,84.5,0.435375,49.25,0.510375,35.25,0.332,26.625,0.762625
293,293,20161203,2017,PHI,BOS,1264.15789,1539.228368,0.267413224,0.732586776,106,107,Boston,22,23,29,33,-550,9.5,23,21,32,425,207.5,10,A,2922,6,L ,102.5,104.25,84.375,0.45275,53.625,0.4845,30.75,0.398125,19.125,0.737125,88.25,0.430375,61.125,0.479375,27.125,0.324875,27.5,0.73,293,20161203,2017,PHI,BOS,1264.15789,1539.228368,0.267413224,0.732586776,106,107,Boston,22,23,29,33,-550,9.5,23,21,32,425,207.5,10,A,2922,6,L ,101.25,103.25,83.875,0.44275,58,0.503375,25.875,0.309875,25.625,0.735375,84.875,0.445625,52.75,0.508375,32.125,0.343625,21.125,0.792125
298,298,20161203,2017,POR,MIA,1515.993488,1524.715417,0.62841866,0.37158134,99,92,Miami,29,20,22,21,205,106,34,18,26,-245,216,-6,H,2923,9,W ,113.625,111.75,90.875,0.46625,59.875,0.5245,31,0.3595,24.25,0.751375,84.875,0.4725,61.625,0.50325,23.25,0.385875,29,0.77775,298,20161203,2017,POR,MIA,1515.993488,1524.715417,0.62841866,0.37158134,99,92,Miami,29,20,22,21,205,106,34,18,26,-245,216,-6,H,2923,9,W ,100.125,97.625,83.125,0.44575,60.375,0.464625,22.75,0.39375,22.75,0.75925,85.25,0.434375,60.875,0.470875,24.375,0.337375,22.875,0.66175
294,294,20161203,2017,TOR,ATL,1622.201019,1491.174303,0.790823544,0.209176456,128,84,Atlanta,22,25,23,14,330,108,30,24,42,-400,206.5,-8.5,H,2924,2,W ,113.625,97.625,81.75,0.4915,56,0.5305,25.75,0.416375,27,0.843875,87.375,0.42275,60.125,0.46575,27.25,0.324875,20,0.71425,294,20161203,2017,TOR,ATL,1622.201019,1491.174303,0.790823544,0.209176456,128,84,Atlanta,22,25,23,14,330,108,30,24,42,-400,206.5,-8.5,H,2924,2,W ,104.375,92.375,87.875,0.454125,60.75,0.495875,27.125,0.378625,18.75,0.7685,85.875,0.4215,59.5,0.481625,26.375,0.2875,18,0.6585
297,297,20161203,2017,UTA,DEN,1571.047963,1432.485337,0.797909065,0.202090935,105,98,Denver,21,26,16,35,260,99,25,33,23,-310,200.5,-7.5,H,2925,9,W ,99.625,93.5,76.875,0.46525,49.125,0.517875,27.75,0.37175,22.625,0.798625,85,0.410375,62.125,0.422,22.875,0.36975,20.25,0.7725,297,20161203,2017,UTA,DEN,1571.047963,1432.485337,0.797909065,0.202090935,105,98,Denver,21,26,16,35,260,99,25,33,23,-310,200.5,-7.5,H,2925,9,W ,107,103,86.625,0.447875,62.125,0.490625,24.5,0.344375,26.75,0.79175,85,0.429125,59.625,0.443125,25.375,0.39375,27,0.77125
300,300,20161204,2017,DET,ORL,1587.839706,1427.816,0.81709923,0.18290077,92,98,Orlando,23,35,20,20,260,96,23,23,19,-325,195.5,-7.5,A,2926,7,L ,100.5,91.875,86.875,0.46325,68,0.484625,18.875,0.4,18,0.690375,81.875,0.41675,56.125,0.47,25.75,0.299875,21.375,0.763,300,20161204,2017,DET,ORL,1587.839706,1427.816,0.81709923,0.18290077,92,98,Orlando,23,35,20,20,260,96,23,23,19,-325,195.5,-7.5,A,2926,7,L ,96,93.625,86.625,0.42325,62.25,0.473,24.375,0.2905,20.625,0.741125,81.125,0.445625,57.125,0.493375,24,0.3365,18.25,0.746375
303,303,20161204,2017,LAC,IND,1667.008719,1476.953615,0.841534672,0.158465328,102,111,Indiana,17,31,35,28,550,103,24,17,33,-750,207,-11.5,A,2927,3,L ,108.625,96.75,81.625,0.4745,55.25,0.51,26.375,0.40525,27.625,0.7405,81.125,0.4345,58.125,0.475625,23,0.342625,24,0.780125,303,20161204,2017,LAC,IND,1667.008719,1476.953615,0.841534672,0.158465328,102,111,Indiana,17,31,35,28,550,103,24,17,33,-750,207,-11.5,A,2927,3,L ,115.125,105.25,87.625,0.482875,57.25,0.549,30.375,0.360125,24.125,0.824,86.125,0.456,65.25,0.4845,20.875,0.36725,24.375,0.808375
302,302,20161204,2017,NYK,SAC,1445.876706,1444.046531,0.64248855,0.35751145,106,98,Sacramento,21,20,36,21,-105,4,29,26,25,-115,209.5,-1,H,2928,5,W ,107.375,105.75,91.25,0.44675,65.375,0.4845,25.875,0.353875,20.5,0.820375,89.75,0.448,65.375,0.494375,24.375,0.323625,23.125,0.760375,302,20161204,2017,NYK,SAC,1445.876706,1444.046531,0.64248855,0.35751145,106,98,Sacramento,21,20,36,21,-105,4,29,26,25,-115,209.5,-1,H,2928,5,W ,105.125,101,85.5,0.441625,54.5,0.484625,31,0.3695,23.125,0.799,86.75,0.429,64.125,0.461875,22.625,0.325625,25.75,0.754625
301,301,20161204,2017,OKC,NOP,1622.397262,1415.168182,0.854277599,0.145722401,101,92,NewOrleans,26,15,25,26,210,0.5,20,29,23,-260,214.5,-6,H,2929,7,W ,112.25,105.875,90.125,0.482125,62.5,0.536625,27.625,0.355,23,0.706,89.25,0.445125,62.125,0.487875,27.125,0.33975,24,0.721625,301,20161204,2017,OKC,NOP,1622.397262,1415.168182,0.854277599,0.145722401,101,92,NewOrleans,26,15,25,26,210,0.5,20,29,23,-260,214.5,-6,H,2929,7,W ,102.25,97.875,87.625,0.451625,60,0.498375,27.625,0.348,18.625,0.715875,84,0.43725,61,0.471375,23,0.341625,21.125,0.801625
307,307,20161205,2017,ATL,OKC,1480.929421,1624.674443,0.437376425,0.562623575,99,102,OklahomaCity,23,32,28,19,155,104.5,33,15,30,-175,212.5,-4,A,2930,11,L ,105.625,107.25,83.75,0.471625,57.375,0.531875,26.375,0.35325,23.375,0.716625,87.75,0.472,58.875,0.51775,28.875,0.381625,18,0.770375,307,20161205,2017,ATL,OKC,1480.929421,1624.674443,0.437376425,0.562623575,99,102,OklahomaCity,23,32,28,19,155,104.5,33,15,30,-175,212.5,-4,A,2930,11,L ,110.875,106.5,89.75,0.458375,65.375,0.486125,24.375,0.378875,23,0.835125,87.875,0.45625,62,0.50325,25.875,0.349125,24,0.70375
306,306,20161205,2017,BRK,WAS,1309.974713,1473.431219,0.409680818,0.590319182,113,118,Washington,29,22,32,35,-275,7.5,34,15,32,235,218,6.5,A,2931,6,L ,106.625,115.25,87.875,0.43675,52.875,0.506125,35,0.334,24.5,0.778875,91,0.47175,58.125,0.509125,32.875,0.414625,21.5,0.76075,306,20161205,2017,BRK,WAS,1309.974713,1473.431219,0.409680818,0.590319182,113,118,Washington,29,22,32,35,-275,7.5,34,15,32,235,218,6.5,A,2931,6,L ,106.5,102.25,84.5,0.461375,59.25,0.499625,25.25,0.37575,26.75,0.71775,89.125,0.4465,66.625,0.48825,22.5,0.352625,19.625,0.7825
309,309,20161205,2017,CHI,POR,1522.374002,1521.820069,0.640799288,0.359200712,110,112,Portland,29,36,21,26,155,105,25,30,23,-175,212.5,-4,A,2932,13,L ,107,100.625,89.75,0.4365,69.125,0.475625,20.625,0.296125,27.25,0.82875,85.75,0.468125,65.375,0.507125,20.375,0.348,18.375,0.730875,309,20161205,2017,CHI,POR,1522.374002,1521.820069,0.640799288,0.359200712,110,112,Portland,29,36,21,26,155,105,25,30,23,-175,212.5,-4,A,2932,13,L ,113.375,107.375,88.375,0.459375,58.75,0.505625,29.625,0.358875,26.75,0.806875,86.375,0.45725,56.875,0.508375,29.5,0.355875,21.5,0.82575
312,312,20161205,2017,DAL,CHO,1441.249805,1520.807275,0.529385264,0.470614736,101,109,Charlotte,23,25,27,34,-165,4.5,27,28,23,145,193.5,3.5,A,2933,18,L ,91.875,93.75,82.25,0.40575,52.375,0.445375,29.875,0.341875,17.75,0.8345,77.75,0.442125,54.375,0.482875,23.375,0.33125,21.5,0.78625,312,20161205,2017,DAL,CHO,1441.249805,1520.807275,0.529385264,0.470614736,101,109,Charlotte,23,25,27,34,-165,4.5,27,28,23,145,193.5,3.5,A,2933,18,L ,101.75,105.5,90.875,0.4185,56.875,0.45525,34,0.355375,18.25,0.71975,88,0.441875,60.375,0.489125,27.625,0.32825,24.5,0.780375
313,313,20161205,2017,GSW,IND,1727.432361,1498.286493,0.869292303,0.130707697,142,106,Indiana,27,23,33,23,1100,110,42,36,26,-2100,224,-15,H,2934,2,W ,128.125,108.75,87.375,0.533125,54.75,0.581875,32.625,0.461125,28.25,0.76025,90.875,0.441,62.5,0.510625,28.375,0.292,25.5,0.7885,313,20161205,2017,GSW,IND,1727.432361,1498.286493,0.869292303,0.130707697,142,106,Indiana,27,23,33,23,1100,110,42,36,26,-2100,224,-15,H,2934,2,W ,120,106.75,89.75,0.493125,58.875,0.55875,30.875,0.3695,24.875,0.813875,84.5,0.46025,64.75,0.491,19.75,0.35575,26.25,0.845
310,310,20161205,2017,HOU,BOS,1600.735602,1541.12452,0.714796565,0.285203435,107,106,Boston,17,31,35,23,190,114,32,19,30,-220,218,-5.5,H,2935,6,W ,,,,,,,,,,,,,,,,,,,310,20161205,2017,HOU,BOS,1600.735602,1541.12452,0.714796565,0.285203435,107,106,Boston,17,31,35,23,190,114,32,19,30,-220,218,-5.5,H,2935,6,W ,99.875,104.875,81.875,0.436125,53.875,0.512375,28,0.289875,27,0.74425,87.125,0.444625,54.875,0.50375,32.25,0.34625,19.875,0.832875
314,314,20161205,2017,LAL,UTA,1416.149686,1573.903307,0.417643023,0.582356977,101,107,Utah,26,31,32,18,-180,1.5,27,21,27,160,198,4,A,2936,10,L ,105.625,110,88.125,0.44675,64,0.467625,24.125,0.3885,22.625,0.780375,86.125,0.498125,57.125,0.55775,29,0.38225,18.625,0.72275,314,20161205,2017,LAL,UTA,1416.149686,1573.903307,0.417643023,0.582356977,101,107,Utah,26,31,32,18,-180,1.5,27,21,27,160,198,4,A,2936,10,L ,99,101.375,83.75,0.442,62.625,0.472375,21.125,0.35425,23.75,0.729875,80.375,0.469,54.875,0.546625,25.5,0.29225,23.75,0.781625
308,308,20161205,2017,MIL,SAS,1471.76012,1686.936068,0.340064666,0.659935334,96,97,SanAntonio,26,9,36,26,-240,7,24,25,23,200,203,6,A,2937,21,L ,106.375,103.375,82.125,0.477,59.5,0.528875,22.625,0.3475,26.5,0.754625,85,0.429875,52.75,0.497125,32.25,0.319875,25.125,0.79275,308,20161205,2017,MIL,SAS,1471.76012,1686.936068,0.340064666,0.659935334,96,97,SanAntonio,26,9,36,26,-240,7,24,25,23,200,203,6,A,2937,21,L ,101.5,107.875,83.75,0.448625,56,0.489,27.75,0.376,20.25,0.7845,81,0.500125,56.25,0.5455,24.75,0.397375,21.5,0.8035
311,311,20161205,2017,NOP,MEM,1412.891001,1488.872272,0.53451077,0.46548923,108,110,Memphis,17,27,30,20,155,97,25,23,25,-175,196.5,-4,A,2938,12,L ,108.125,107,88,0.461375,62,0.519,26,0.31825,23.75,0.7945,92.375,0.433,60.75,0.481625,31.625,0.33375,21.125,0.76925,311,20161205,2017,NOP,MEM,1412.891001,1488.872272,0.53451077,0.46548923,108,110,Memphis,17,27,30,20,155,97,25,23,25,-175,196.5,-4,A,2938,12,L ,98.875,103.375,80.25,0.43125,50.25,0.493125,30,0.329625,26.5,0.767375,84.625,0.446875,58,0.464125,26.625,0.40925,22.25,0.7795
304,304,20161205,2017,PHI,DEN,1262.261737,1429.629993,0.404246331,0.595753669,98,106,Denver,18,33,23,32,-165,3.5,26,17,28,145,210,3.5,A,2939,3,L ,101.125,104.75,85.5,0.4355,54.375,0.457375,31.125,0.397875,19.25,0.74425,86.375,0.43575,58.75,0.488,27.625,0.327625,28.625,0.735625,304,20161205,2017,PHI,DEN,1262.261737,1429.629993,0.404246331,0.595753669,98,106,Denver,18,33,23,32,-165,3.5,26,17,28,145,210,3.5,A,2939,3,L ,106.875,103.5,86.375,0.449,60.75,0.495875,25.625,0.337625,26.5,0.784125,84.375,0.426625,58.375,0.437,26,0.405875,28.125,0.776875
305,305,20161205,2017,TOR,CLE,1632.4459,1650.317353,0.61603915,0.38396085,112,116,Cleveland,30,32,28,26,105,105.5,34,20,31,-125,214.5,-1.5,A,2940,6,L ,115.625,101.25,82.25,0.4905,55.625,0.520625,26.625,0.437125,28.125,0.83925,86.875,0.434,59.125,0.476125,27.75,0.3395,21.5,0.73275,305,20161205,2017,TOR,CLE,1632.4459,1650.317353,0.61603915,0.38396085,112,116,Cleveland,30,32,28,26,105,105.5,34,20,31,-125,214.5,-1.5,A,2940,6,L ,104.75,103.5,89,0.46375,64,0.51,25,0.319625,17.125,0.76925,84.5,0.438625,50.75,0.479875,33.75,0.377,22.75,0.71875
317,317,20161206,2017,DET,CHI,1571.883753,1515.639768,0.710828792,0.289171208,102,91,Chicago,21,23,28,19,195,96.5,19,20,31,-230,201.5,-5.5,H,2941,10,W ,100.5,92.125,86.75,0.4625,66.875,0.490125,19.875,0.37075,18,0.702375,80.5,0.420875,55.625,0.479875,24.875,0.27675,23.5,0.752875,317,20161206,2017,DET,CHI,1571.883753,1515.639768,0.710828792,0.289171208,102,91,Chicago,21,23,28,19,195,96.5,19,20,31,-230,201.5,-5.5,H,2941,10,W ,98.125,99.5,87,0.42425,60.375,0.45125,26.625,0.369375,19.25,0.761875,85.375,0.439875,65.875,0.486375,19.5,0.286375,24.125,0.7845
318,318,20161206,2017,MEM,PHI,1494.138836,1255.296566,0.875504737,0.124495263,96,91,Philadelphia,20,23,34,14,250,94.5,19,29,20,-300,194.5,-7,H,2942,11,W ,94.375,94.625,83.375,0.412875,60.75,0.475875,22.625,0.24075,25.375,0.7465,76.125,0.429625,48.375,0.470375,27.75,0.352,27.25,0.707125,318,20161206,2017,MEM,PHI,1494.138836,1255.296566,0.875504737,0.124495263,96,91,Philadelphia,20,23,34,14,250,94.5,19,29,20,-300,194.5,-7,H,2942,11,W ,,,,,,,,,,,,,,,,,,
316,316,20161206,2017,MIA,NYK,1518.888836,1451.8796,0.723398508,0.276601492,103,114,NewYork,26,27,31,30,100,101,29,23,26,-120,205.5,-1,A,2943,19,L ,99.25,99.75,86.375,0.43875,59.625,0.48575,26.75,0.34025,22.625,0.646875,84.75,0.445375,62.75,0.489375,22,0.3245,21.625,0.795125,316,20161206,2017,MIA,NYK,1518.888836,1451.8796,0.723398508,0.276601492,103,114,NewYork,26,27,31,30,100,101,29,23,26,-120,205.5,-1,A,2943,19,L ,109,104.25,84.125,0.45125,62.125,0.46725,22,0.412875,31.875,0.75475,92.5,0.440125,66.625,0.472625,25.875,0.348375,17.5,0.789375
319,319,20161206,2017,MIN,SAS,1425.348672,1689.453163,0.279959727,0.720040273,91,105,SanAntonio,19,24,29,33,-180,5,24,18,27,160,205.5,4,A,2944,5,L ,104.625,104.25,82.5,0.4565,59,0.504625,23.5,0.32675,26.875,0.808125,80.125,0.47725,53.875,0.53925,26.25,0.337,23.375,0.806125,319,20161206,2017,MIN,SAS,1425.348672,1689.453163,0.279959727,0.720040273,91,105,SanAntonio,19,24,29,33,-180,5,24,18,27,160,205.5,4,A,2944,5,L ,100.375,107.75,82.875,0.45575,58.5,0.491,24.375,0.379875,19.875,0.766625,80.75,0.498625,55.25,0.537875,25.5,0.419875,20.875,0.80975
320,320,20161206,2017,UTA,PHO,1580.0771,1358.721199,0.864112223,0.135887777,112,105,Phoenix,19,26,30,30,250,2,32,29,18,-300,204,-7,H,2945,0,W ,102.875,94.125,76,0.48,48.125,0.539125,27.875,0.374375,23.625,0.829875,85.125,0.412625,62.5,0.423,22.625,0.373875,20.625,0.763875,320,20161206,2017,UTA,PHO,1580.0771,1358.721199,0.864112223,0.135887777,112,105,Phoenix,19,26,30,30,250,2,32,29,18,-300,204,-7,H,2945,0,W ,114,106.5,84.375,0.486125,60.25,0.504875,24.125,0.416625,28.375,0.765875,87.125,0.462375,63.375,0.5005,23.75,0.35725,23.75,0.752
315,315,20161206,2017,WAS,ORL,1478.918796,1443.771953,0.685241956,0.314758044,116,124,Orlando,25,40,31,28,130,98,28,29,35,-150,200.5,-3,A,2946,8,L ,108.125,107,88.25,0.465125,65,0.484125,23.25,0.398875,22.125,0.76025,85,0.465375,57.75,0.502125,27.25,0.378625,25,0.716125,315,20161206,2017,WAS,ORL,1478.918796,1443.771953,0.685241956,0.314758044,116,124,Orlando,25,40,31,28,130,98,28,29,35,-150,200.5,-3,A,2946,8,L ,96.5,99.125,87.125,0.423375,62.25,0.46225,24.875,0.3305,19.75,0.728875,80.875,0.461875,57.375,0.506875,23.5,0.35675,22,0.7325
323,323,20161207,2017,ATL,MIA,1476.204371,1500.500856,0.607254096,0.392745904,103,95,Miami,25,21,17,32,375,100.5,24,25,25,-450,203.5,-9,H,2947,2,W ,104,103.75,84.125,0.4725,59.375,0.53175,24.75,0.336625,21.625,0.725875,86.5,0.4585,57,0.50025,29.5,0.381375,18,0.757875,323,20161207,2017,ATL,MIA,1476.204371,1500.500856,0.607254096,0.392745904,103,95,Miami,25,21,17,32,375,100.5,24,25,25,-450,203.5,-9,H,2947,2,W ,101.25,98.25,83.875,0.456625,60.625,0.488625,23.25,0.3535,21.25,0.775,84.75,0.4325,58.875,0.465375,25.875,0.354875,22.75,0.690375
324,324,20161207,2017,BRK,DEN,1304.487135,1436.595164,0.453923927,0.546076073,116,111,Denver,23,29,27,32,-185,7,32,28,20,165,221.5,4.5,H,2948,0,W ,109.25,116.75,87.625,0.44675,53.875,0.510125,33.75,0.346,25.75,0.784375,93.375,0.469375,59.625,0.508125,33.75,0.410125,21.125,0.7675,324,20161207,2017,BRK,DEN,1304.487135,1436.595164,0.453923927,0.546076073,116,111,Denver,23,29,27,32,-185,7,32,28,20,165,221.5,4.5,H,2948,0,W ,108.5,106.625,86.5,0.44975,60.125,0.499125,26.375,0.337125,27.625,0.794,85.75,0.435375,58.25,0.4505,27.5,0.408,28.25,0.765875
322,322,20161207,2017,CHO,DET,1530.580005,1577.544523,0.575736844,0.424263156,87,77,Detroit,24,15,19,19,190,101,15,23,26,-220,202.5,-5.5,H,2949,15,W ,100.5,102.875,84.125,0.426625,58.625,0.461125,25.5,0.354375,28,0.71225,90.75,0.44025,62,0.48625,28.75,0.342875,16.625,0.786,322,20161207,2017,CHO,DET,1530.580005,1577.544523,0.575736844,0.424263156,87,77,Detroit,24,15,19,19,190,101,15,23,26,-220,202.5,-5.5,H,2949,15,W ,98.125,101,86,0.426375,59.5,0.464375,26.5,0.34175,21,0.764625,88.375,0.46625,65.5,0.514,22.875,0.319,14.375,0.765625
328,328,20161207,2017,DAL,SAC,1431.477075,1438.043636,0.631311225,0.368688775,89,120,Sacramento,26,30,29,35,-150,0.5,29,12,25,130,196,3,A,2950,7,L ,91.125,95.625,81.625,0.40575,51.5,0.448125,30.125,0.338875,17.75,0.822,78.25,0.455875,56,0.49625,22.25,0.33975,20.875,0.7805,328,20161207,2017,DAL,SAC,1431.477075,1438.043636,0.631311225,0.368688775,89,120,Sacramento,26,30,29,35,-150,0.5,29,12,25,130,196,3,A,2950,7,L ,103.5,104.25,84.75,0.436375,53.75,0.477,31,0.3695,22.75,0.80575,87.25,0.439625,64.125,0.474,23.125,0.333875,26.25,0.769
326,326,20161207,2017,HOU,LAL,1602.780079,1409.975893,0.84363361,0.15636639,134,95,LALakers,27,28,22,18,1000,106.5,24,39,28,-2000,222.5,-13.5,H,2951,1,W ,111,101.625,87.25,0.46175,50,0.5375,37.25,0.37225,21,0.787,86.5,0.44525,61.375,0.481625,25.125,0.347125,19.875,0.82275,326,20161207,2017,HOU,LAL,1602.780079,1409.975893,0.84363361,0.15636639,134,95,LALakers,27,28,22,18,1000,106.5,24,39,28,-2000,222.5,-13.5,H,2951,1,W ,114.75,98.75,87.5,0.488625,58.75,0.54875,28.75,0.365125,24.875,0.76625,85.875,0.430875,63.5,0.475875,22.375,0.312125,23.875,0.735875
330,330,20161207,2017,LAC,GSW,1645.67584,1732.603776,0.518803342,0.481196658,98,115,GoldenState,37,25,29,24,-165,113.5,30,26,23,145,224.5,4,A,2952,7,L ,110.5,100.5,82.25,0.4745,55.375,0.511125,26.875,0.404,28.375,0.77875,81.75,0.442875,57.375,0.494375,24.375,0.339625,25.125,0.808625,330,20161207,2017,LAC,GSW,1645.67584,1732.603776,0.518803342,0.481196658,98,115,GoldenState,37,25,29,24,-165,113.5,30,26,23,145,224.5,4,A,2952,7,L ,101.75,115.125,91,0.41075,64.25,0.443375,26.75,0.3335,22.75,0.803125,88.125,0.483125,55.75,0.570125,32.375,0.331625,23.75,0.794125
327,327,20161207,2017,MIL,POR,1469.243025,1528.554303,0.558289539,0.441710461,115,107,Portland,28,30,18,31,105,105,23,34,30,-125,214.5,-1.5,H,2953,7,W ,107.5,102.75,80.375,0.486875,57,0.541375,23.375,0.358,28,0.739125,84.5,0.4295,50.375,0.494,34.125,0.328,24.125,0.78225,327,20161207,2017,MIL,POR,1469.243025,1528.554303,0.558289539,0.441710461,115,107,Portland,28,30,18,31,105,105,23,34,30,-125,214.5,-1.5,H,2953,7,W ,116,108.25,87.875,0.476375,58.5,0.5195,29.375,0.382125,27.375,0.78975,88.125,0.45525,57.75,0.504625,30.375,0.356,20.5,0.829125
325,325,20161207,2017,NYK,CLE,1470.26758,1658.657438,0.375471846,0.624528154,94,126,Cleveland,36,27,29,34,-380,105,22,17,29,320,213.5,8,A,2954,0,L ,106,108.75,90.5,0.4405,63.875,0.4775,26.625,0.35325,20,0.84975,89.125,0.44725,62.625,0.479,26.5,0.348875,25.5,0.761125,325,20161207,2017,NYK,CLE,1470.26758,1658.657438,0.375471846,0.624528154,94,126,Cleveland,36,27,29,34,-380,105,22,17,29,320,213.5,8,A,2954,0,L ,105.125,107.5,88.625,0.465375,61.75,0.51125,26.875,0.33275,16.75,0.759625,84.625,0.447375,49.875,0.477125,34.75,0.398875,23.875,0.73275
321,321,20161207,2017,ORL,BOS,1457.723398,1539.080043,0.526804222,0.473195778,87,117,Boston,26,23,36,32,-115,0.5,23,23,14,-105,195.5,1,A,2955,7,L ,90.75,98.25,84.125,0.39825,59.875,0.420625,24.25,0.342625,21.75,0.711,82.25,0.4405,57.125,0.479125,25.125,0.35375,21.125,0.793625,321,20161207,2017,ORL,BOS,1457.723398,1539.080043,0.526804222,0.473195778,87,117,Boston,26,23,36,32,-115,0.5,23,23,14,-105,195.5,1,A,2955,7,L ,98.375,106.375,81.25,0.43,53.375,0.492,27.875,0.315,26.5,0.733875,87.625,0.453875,55.25,0.52,32.375,0.339875,19.375,0.834125
329,329,20161207,2017,PHO,IND,1356.9024,1493.115079,0.448073666,0.551926334,94,109,Indiana,23,26,33,27,-170,5,31,27,14,150,215,4,A,2956,14,L ,103.875,109.625,90.75,0.41525,65.875,0.450125,24.875,0.335875,25.75,0.795125,87.25,0.433375,59.75,0.466125,27.5,0.363875,28,0.85875,329,20161207,2017,PHO,IND,1356.9024,1493.115079,0.448073666,0.551926334,94,109,Indiana,23,26,33,27,-170,5,31,27,14,150,215,4,A,2956,14,L ,117,107.75,89.625,0.47775,57.25,0.549625,32.375,0.35,24.5,0.81875,83.25,0.45525,62.875,0.490375,20.375,0.345125,30.25,0.831375
336,336,20161208,2017,CHI,SAS,1509.978998,1695.818948,0.378920076,0.621079924,95,91,SanAntonio,17,15,31,28,-160,6.5,24,27,23,140,200.5,3.5,H,2957,0,W ,105.75,99.625,88.25,0.442375,68.625,0.4905,19.625,0.2705,26.875,0.834375,88.375,0.455875,67.375,0.49075,21,0.344625,16,0.75275,336,20161208,2017,CHI,SAS,1509.978998,1695.818948,0.378920076,0.621079924,95,91,SanAntonio,17,15,31,28,-160,6.5,24,27,23,140,200.5,3.5,H,2957,0,W ,99.125,105.375,83.375,0.45125,59.375,0.49225,24,0.353,19.375,0.767125,81.875,0.48775,56.625,0.52325,25.25,0.414125,19.375,0.814125
334,334,20161208,2017,MEM,POR,1495.517387,1520.786305,0.605918246,0.394081754,88,86,Portland,22,28,19,17,-130,101,29,18,27,110,206.5,2.5,H,2958,10,W ,93.625,92.875,84.125,0.4095,62.25,0.465625,21.875,0.249375,25.125,0.72825,77.5,0.411375,50.375,0.45275,27.125,0.33025,28.875,0.695875,334,20161208,2017,MEM,POR,1495.517387,1520.786305,0.605918246,0.394081754,88,86,Portland,22,28,19,17,-130,101,29,18,27,110,206.5,2.5,H,2958,10,W ,113.125,109,87.875,0.46625,60,0.50475,27.875,0.376625,27,0.78225,87.375,0.449375,57.25,0.492375,30.125,0.36225,23.75,0.812625
