,lead_changes,h_Avg_pts,h_Avg_pts_alwd,h_fga,h_fg_pct,h_fg2a,h_fg2_pct,h_fg3a,h_fg3_pct,h_fta,h_ft_pct,h_opp_fga,h_opp_fg_pct,h_opp_fg2a,h_opp_fg2_pct,h_opp_fg3a,h_opp_fg3_pct,h_opp_fta,result,home_id1,opp_id_x,Date1,lead_changes,Avg_pts_alwd,Avg_pts,fg,fga,fg_pct,fg2a,fg2_pct,fg3a,fg3_pct,fta,opp_fga,opp_fg_pct,opp_fg2a,opp_fg2_pct,opp_fg3a,opp_fg3_pct,opp_fta,opp_ft_pct,home_id,opp_id_x,Date,season,neutral,opp_id_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2
0,,,,,,,,,,,,,,,,,,,W,CLE,NYK,10/25/16,,,,,,,,,,,,,,,,,,,,CLE,NYK,10/25/16,2017,0,NYK,1695.521828,1414.54585,0.899625829,0.100374171,117,88
1,,,,,,,,,,,,,,,,,,,L,GSW,SAS,10/25/16,,,,,,,,,,,,,,,,,,,,GSW,SAS,10/25/16,2017,0,SAS,1692.97925,1695.289874,0.636995012,0.363004988,100,129
2,,,,,,,,,,,,,,,,,,,W,POR,UTA,10/25/16,,,,,,,,,,,,,,,,,,,,POR,UTA,10/25/16,2017,0,UTA,1584.628972,1530.321395,0.708532169,0.291467831,113,104
3,,,,,,,,,,,,,,,,,,,W,BOS,BRK,10/26/16,,,,,,,,,,,,,,,,,,,,BOS,BRK,10/26/16,2017,0,BRK,1540.3208,1342.985098,0.847043941,0.152956059,122,117
4,,,,,,,,,,,,,,,,,,,W,IND,DAL,10/26/16,,,,,,,,,,,,,,,,,,,,IND,DAL,10/26/16,2017,0,DAL,1533.109375,1503.293315,0.678586021,0.321413979,130,121
5,,,,,,,,,,,,,,,,,,,W,LAL,HOU,10/26/16,,,,,,,,,,,,,,,,,,,,LAL,HOU,10/26/16,2017,0,HOU,1332.678135,1527.886672,0.3663136,0.6336864,120,114
6,,,,,,,,,,,,,,,,,,,W,MEM,MIN,10/26/16,,,,,,,,,,,,,,,,,,,,MEM,MIN,10/26/16,2017,0,MIN,1455.039799,1434.229488,0.667175999,0.332824001,102,98
7,,,,,,,,,,,,,,,,,,,L,MIL,CHO,10/26/16,,,,,,,,,,,,,,,,,,,,MIL,CHO,10/26/16,2017,0,CHO,1420.050972,1545.519783,0.463412947,0.536587053,96,107
8,,,,,,,,,,,,,,,,,,,L,NOP,DEN,10/26/16,,,,,,,,,,,,,,,,,,,,NOP,DEN,10/26/16,2017,0,DEN,1406.924908,1446.212616,0.586493425,0.413506575,102,107
9,,,,,,,,,,,,,,,,,,,L,ORL,MIA,10/26/16,,,,,,,,,,,,,,,,,,,,ORL,MIA,10/26/16,2017,0,MIA,1454.0791,1574.216287,0.471052665,0.528947335,96,108
10,,,,,,,,,,,,,,,,,,,L,PHI,OKC,10/26/16,,,,,,,,,,,,,,,,,,,,PHI,OKC,10/26/16,2017,0,OKC,1278.436303,1684.605999,0.146483204,0.853516796,97,103
11,,,,,,,,,,,,,,,,,,,L,PHO,SAC,10/26/16,,,,,,,,,,,,,,,,,,,,PHO,SAC,10/26/16,2017,0,SAC,1393.494604,1444.825392,0.569586063,0.430413937,94,113
12,,,,,,,,,,,,,,,,,,,W,TOR,DET,10/26/16,,,,,,,,,,,,,,,,,,,,TOR,DET,10/26/16,2017,0,DET,1568.89858,1497.029933,0.728960595,0.271039405,109,91
13,,,,,,,,,,,,,,,,,,,W,ATL,WAS,10/27/16,,,,,,,,,,,,,,,,,,,,ATL,WAS,10/27/16,2017,0,WAS,1571.053531,1523.722815,0.700169215,0.299830785,114,99
14,,,,,,,,,,,,,,,,,,,W,CHI,BOS,10/27/16,,,,,,,,,,,,,,,,,,,,CHI,BOS,10/27/16,2017,0,BOS,1466.563037,1542.059933,0.535204453,0.464795547,105,99
15,,,,,,,,,,,,,,,,,,,L,POR,LAC,10/27/16,,,,,,,,,,,,,,,,,,,,POR,LAC,10/27/16,2017,0,LAC,1589.679679,1583.757141,0.647881295,0.352118705,106,114
16,,,,,,,,,,,,,,,,,,,L,SAC,SAS,10/27/16,,,,,,,,,,,,,,,,,,,,SAC,SAS,10/27/16,2017,0,SAS,1463.562978,1724.772434,0.283331413,0.716668587,94,102
17,,,,,,,,,,,,,,,,,,,W,BRK,IND,10/28/16,,,,,,,,,,,,,,,,,,,,BRK,IND,10/28/16,2017,0,IND,1341.245965,1538.777864,0.363214628,0.636785372,103,94
18,,,,,,,,,,,,,,,,,,,L,DAL,HOU,10/28/16,,,,,,,,,,,,,,,,,,,,DAL,HOU,10/28/16,2017,0,HOU,1497.624826,1517.278426,0.6136097,0.3863903,98,106
19,,,,,,,,,,,,,,,,,,,W,DET,ORL,10/28/16,,,,,,,,,,,,,,,,,,,,DET,ORL,10/28/16,2017,0,ORL,1489.771763,1443.290363,0.699141841,0.300858159,108,82
20,,,,,,,,,,,,,,,,,,,L,MIA,CHO,10/28/16,,,,,,,,,,,,,,,,,,,,MIA,CHO,10/28/16,2017,0,CHO,1585.005023,1555.521613,0.678168229,0.321831771,91,97
21,,,,,,,,,,,,,,,,,,,L,NOP,GSW,10/28/16,,,,,,,,,,,,,,,,,,,,NOP,GSW,10/28/16,2017,0,GSW,1398.24876,1663.496689,0.278634803,0.721365197,114,122
22,,,,,,,,,,,,,,,,,,,W,OKC,PHO,10/28/16,,,,,,,,,,,,,,,,,,,,OKC,PHO,10/28/16,2017,0,PHO,1686.425715,1374.757018,0.914491744,0.085508256,113,110
23,,,,,,,,,,,,,,,,,,,L,TOR,CLE,10/28/16,,,,,,,,,,,,,,,,,,,,TOR,CLE,10/28/16,2017,0,CLE,1576.15675,1698.804089,0.467453942,0.532546058,91,94
24,,,,,,,,,,,,,,,,,,,W,UTA,LAL,10/28/16,,,,,,,,,,,,,,,,,,,,UTA,LAL,10/28/16,2017,0,LAL,1525.270688,1343.28638,0.835240402,0.164759598,96,89
25,,,,,,,,,,,,,,,,,,,W,CHI,IND,10/29/16,,,,,,,,,,,,,,,,,,,,CHI,IND,10/29/16,2017,0,IND,1473.613113,1525.332025,0.569038243,0.430961757,118,101
26,,,,,,,,,,,,,,,,,,,L,CHO,BOS,10/29/16,,,,,,,,,,,,,,,,,,,,CHO,BOS,10/29/16,2017,0,BOS,1567.221776,1535.009857,0.681586645,0.318413355,98,104
27,,,,,,,,,,,,,,,,,,,W,CLE,ORL,10/29/16,,,,,,,,,,,,,,,,,,,,CLE,ORL,10/29/16,2017,0,ORL,1703.937789,1432.670381,0.894465366,0.105534634,105,99
28,,,,,,,,,,,,,,,,,,,L,DEN,POR,10/29/16,,,,,,,,,,,,,,,,,,,,DEN,POR,10/29/16,2017,0,POR,1454.888764,1576.825838,0.468471899,0.531528101,113,115
29,,,,,,,,,,,,,,,,,,,W,MIL,BRK,10/29/16,,,,,,,,,,,,,,,,,,,,MIL,BRK,10/29/16,2017,0,BRK,1410.049142,1354.691804,0.709778541,0.290221459,110,108
30,,,,,,,,,,,,,,,,,,,W,NYK,MEM,10/29/16,,,,,,,,,,,,,,,,,,,,NYK,MEM,10/29/16,2017,0,MEM,1411.263589,1458.878589,0.574821945,0.425178055,111,104
31,,,,,,,,,,,,,,,,,,,L,PHI,ATL,10/29/16,,,,,,,,,,,,,,,,,,,,PHI,ATL,10/29/16,2017,0,ATL,1276.616587,1578.275802,0.238514004,0.761485996,72,104
32,,,,,,,,,,,,,,,,,,,W,SAC,MIN,10/29/16,,,,,,,,,,,,,,,,,,,,SAC,MIN,10/29/16,2017,0,MIN,1459.005799,1430.390697,0.677076331,0.322923669,106,103
33,,,,,,,,,,,,,,,,,,,W,SAS,NOP,10/29/16,,,,,,,,,,,,,,,,,,,,SAS,NOP,10/29/16,2017,0,NOP,1729.329614,1393.77991,0.924646814,0.075353186,98,79
34,,,,,,,,,,,,,,,,,,,W,DET,MIL,10/30/16,,,,,,,,,,,,,,,,,,,,DET,MIL,10/30/16,2017,0,MIL,1500.391745,1412.543722,0.746747509,0.253252491,98,83
