,Unnamed: 0,Unnamed: 0.1,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1249,1250,1250,2018417,2018,BOS,MIL,1579.357854,1510.172315,0.725898207,0.274101793,120,106,Milwaukee,22,29,24,31,-110,33,27,30,30,-110,199.5,0,H,5177,6,W ,111.75,106.125,90.375,0.477625,63.25,0.51825,27.125,0.39125,20.375,0.731,85.625,0.475,56,0.535875,29.625,0.36725,20.875,0.68825,1250,2018417,2018,BOS,MIL,1579.357854,1510.172315,0.725898207,0.274101793,120,106,Milwaukee,22,29,24,31,-110,33,27,30,30,-110,199.5,0,H,5177,6,W ,115.875,110.75,91.125,0.48025,63,0.51275,28.125,0.41575,21.875,0.789125,88.375,0.489125,64.25,0.5305,24.125,0.378375,20.25,0.77875
1250,1251,1251,2018417,2018,POR,NOP,1607.022497,1595.530918,0.655159589,0.344840411,102,111,Neworleans,25,29,33,24,230,23,36,19,24,-280,215.5,-6,A,5178,14,L ,103.5,100.25,89.5,0.444625,57.625,0.51725,31.875,0.31675,17.375,0.81575,84,0.442875,61,0.442875,23,0.432125,21.875,0.7325,1251,2018417,2018,POR,NOP,1607.022497,1595.530918,0.655159589,0.344840411,102,111,Neworleans,25,29,33,24,230,23,36,19,24,-280,215.5,-6,A,5178,14,L ,104.875,106.875,94.125,0.44525,62.75,0.5,31.375,0.32475,15,0.71925,90.75,0.468625,65,0.500625,25.75,0.389,15.625,0.77225
1251,1249,1249,2018417,2018,TOR,WAS,1677.914949,1480.37244,0.847198116,0.152801884,130,119,Washington,27,31,32,29,250,44,32,24,30,-310,213.5,-7,H,5179,1,W ,110,102,86,0.480875,52.75,0.529,33.25,0.40725,19.125,0.725375,86.375,0.4365,63.375,0.465875,23,0.361625,22.875,0.785375,1249,2018417,2018,TOR,WAS,1677.914949,1480.37244,0.847198116,0.152801884,130,119,Washington,27,31,32,29,250,44,32,24,30,-310,213.5,-7,H,5179,1,W ,112.875,101.75,81.5,0.504375,50.75,0.564375,30.75,0.405,23.5,0.75975,86.5,0.453625,59.375,0.5145,27.125,0.33525,19,0.816
1252,1252,1252,2018418,2018,CLE,IND,1531.338517,1577.636043,0.576674425,0.423325575,100,97,Indiana,18,28,21,30,350,33,25,16,26,-450,212.5,-8,H,5180,0,W ,104.25,101.25,83.625,0.46375,55.875,0.516375,27.75,0.3635,23.25,0.72725,85.625,0.47,57.75,0.5215,27.875,0.360875,14.375,0.78225,1252,2018418,2018,CLE,IND,1531.338517,1577.636043,0.576674425,0.423325575,100,97,Indiana,18,28,21,30,350,33,25,16,26,-450,212.5,-8,H,5180,0,W ,98,100.5,81.25,0.467375,52.875,0.541625,28.375,0.335125,17.5,0.713375,83.5,0.472,59.75,0.521875,23.75,0.3525,18,0.74625
1253,1254,1254,2018418,2018,HOU,MIN,1733.726683,1549.908672,0.836687869,0.163312131,102,82,Minnesota,23,17,18,24,575,18,37,25,22,-850,215.5,-10.5,H,5181,1,W ,108,97.125,84.5,0.456125,40,0.584875,44.5,0.3405,22.375,0.73775,83.625,0.44025,54.875,0.505375,28.75,0.324125,20,0.731375,1254,2018418,2018,HOU,MIN,1733.726683,1549.908672,0.836687869,0.163312131,102,82,Minnesota,23,17,18,24,575,18,37,25,22,-850,215.5,-10.5,H,5181,1,W ,104.375,100.25,88.625,0.4355,55.125,0.5025,33.5,0.327625,21.5,0.765375,85.75,0.43,63.625,0.4655,22.125,0.341625,24.75,0.78875
1254,1253,1253,2018418,2018,OKC,UTA,1627.560548,1678.338001,0.570366779,0.429633221,95,102,Utah,26,27,21,28,145,25,21,33,16,-170,208.5,-3.5,A,5182,12,L ,113.875,111.25,90.375,0.44825,56.125,0.500125,34.25,0.36275,27.5,0.74575,87.75,0.466625,58.125,0.524,29.625,0.3565,23,0.821,1253,2018418,2018,OKC,UTA,1627.560548,1678.338001,0.570366779,0.429633221,95,102,Utah,26,27,21,28,145,25,21,33,16,-170,208.5,-3.5,A,5182,12,L ,104.25,110.625,89.375,0.44825,64.25,0.472625,25.125,0.381,18,0.81375,85.125,0.483875,56.5,0.541625,28.625,0.380125,23.375,0.76875
1255,1255,1255,2018419,2018,MIA,PHI,1521.158519,1644.988646,0.465759366,0.534240634,108,128,Philadelphia,37,26,33,32,-140,33,31,30,14,120,213.5,2.5,A,5183,17,L ,103.875,102.875,86.75,0.45325,60,0.511625,26.75,0.327125,21.375,0.7695,87.25,0.417875,56.625,0.46675,30.625,0.315625,26.25,0.7595,1255,2018419,2018,MIA,PHI,1521.158519,1644.988646,0.465759366,0.534240634,108,128,Philadelphia,37,26,33,32,-140,33,31,30,14,120,213.5,2.5,A,5183,17,L ,103.375,117.5,88.125,0.422875,56.125,0.46125,32,0.340125,25.375,0.705125,90.125,0.487,56.25,0.534,33.875,0.40325,23.125,0.713375
1256,1256,1256,2018419,2018,NOP,POR,1609.534353,1593.019061,0.661663451,0.338336549,119,102,Portland,20,25,25,32,150,36,28,27,28,-180,215.5,-4,H,5184,4,W ,113.75,104.125,87.875,0.50775,61.625,0.57725,26.25,0.327875,19.375,0.7925,91.875,0.4315,61.125,0.491,30.75,0.322375,18.875,0.812875,1256,2018419,2018,NOP,POR,1609.534353,1593.019061,0.661663451,0.338336549,119,102,Portland,20,25,25,32,150,36,28,27,28,-180,215.5,-4,H,5184,4,W ,106.25,101.25,85.125,0.47125,56.25,0.53775,28.875,0.336375,21.875,0.745625,88.5,0.443,57.25,0.534125,31.25,0.2885,18.875,0.778875
1257,1257,1257,2018419,2018,SAS,GSW,1560.584747,1597.5515,0.58972981,0.41027019,97,110,GoldenState,26,26,32,26,-170,23,23,26,25,145,205.5,3.5,A,5185,13,L ,103.125,95.875,83.5,0.465125,59.5,0.522375,24,0.325375,23.375,0.75375,82.25,0.435625,55.875,0.49125,26.375,0.32675,19.625,0.779125,1257,2018419,2018,SAS,GSW,1560.584747,1597.5515,0.58972981,0.41027019,97,110,GoldenState,26,26,32,26,-170,23,23,26,25,145,205.5,3.5,A,5185,13,L ,105.375,104.25,88.25,0.4485,57.625,0.512875,30.625,0.339375,21.25,0.756875,84.5,0.4685,57.375,0.544875,27.125,0.311375,19.375,0.81875
1258,1258,1258,2018420,2018,IND,CLE,1573.097717,1535.876844,0.687811327,0.312188673,92,90,Cleveland,31,26,12,21,105,20,20,23,29,-125,209.5,-1.5,H,5186,5,W ,106.75,102.375,89.875,0.47225,63.25,0.519375,26.625,0.358,15.5,0.78475,83.5,0.460375,50.75,0.532125,32.75,0.344625,17.625,0.801375,1258,2018420,2018,IND,CLE,1573.097717,1535.876844,0.687811327,0.312188673,92,90,Cleveland,31,26,12,21,105,20,20,23,29,-125,209.5,-1.5,H,5186,5,W ,109,110,85.625,0.47925,54.25,0.542625,31.375,0.356875,19.625,0.76925,85.125,0.4755,52.25,0.54825,32.875,0.35825,22.875,0.737125
