Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7,Bottom of the 2nd Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 5-6-7
b2,0-0,0,---,3(1-1) BCX,R,CLE,Jordan Luplow,Manny Banuelos,10%,65%,Home Run (Fly Ball to Deep LF)
b2,1-0,0,---,3(0-2) FSS,O,CLE,Carlos Gonzalez,Manny Banuelos,-2%,63%,Strikeout Swinging
b2,1-0,1,---,6(3-2) CCBBBB,,CLE,Jake Bauers,Manny Banuelos,2%,66%,Walk
b2,1-0,1,1--,6(3-2) C1BBBC1>B,,CLE,Roberto Perez,Manny Banuelos,3%,69%,Walk; Bauers to 2B
b2,1-0,1,12-,2(1-0) BB,R,CLE,Tyler Naquin,Manny Banuelos,7%,76%,Wild Pitch; Bauers Scores/No RBI; Perez to 2B
b2,2-0,1,-2-,4(3-0) BB.BB,,CLE,Tyler Naquin,Manny Banuelos,1%,77%,Walk
b2,2-0,1,12-,1(0-0) X,O,CLE,Francisco Lindor,Manny Banuelos,-3%,74%,Foul Popfly: 3B (3B into Foul Terr.)
b2,2-0,2,12-,4(1-2) BCTS,O,CLE,Jason Kipnis,Manny Banuelos,-3%,71%,Strikeout Swinging
,,,,,,,,,2 runs 1 hit 0 errors 2 LOB. White Sox 0 Indians 2.,2 runs 1 hit 0 errors 2 LOB. White Sox 0 Indians 2.,2 runs 1 hit 0 errors 2 LOB. White Sox 0 Indians 2.
Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1,Top of the 3rd White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 8-9-1
t3,0-2,0,---,2(1-0) BX,O,CHW,Charlie Tilson,Carlos Carrasco,3%,73%,Groundout: 2B-1B
t3,0-2,1,---,5(2-2) CSBBS,O,CHW,Yolmer Sanchez,Carlos Carrasco,2%,75%,Strikeout Swinging
