,lead_changes,h_Avg_pts,h_Avg_pts_alwd,h_fga,h_fg_pct,h_fg2a,h_fg2_pct,h_fg3a,h_fg3_pct,h_fta,h_ft_pct,h_opp_fga,h_opp_fg_pct,h_opp_fg2a,h_opp_fg2_pct,h_opp_fg3a,h_opp_fg3_pct,h_opp_fta,result,home_id1,opp_id_x,Date1,lead_changes,Avg_pts_alwd,Avg_pts,fg,fga,fg_pct,fg2a,fg2_pct,fg3a,fg3_pct,fta,opp_fga,opp_fg_pct,opp_fg2a,opp_fg2_pct,opp_fg3a,opp_fg3_pct,opp_fta,opp_ft_pct,home_id,opp_id_x,Date,season,neutral,opp_id_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2
26,,,,,,,,,,,,,,,,,,,W,ATL,IND,11/1/14,,,,,,,,,,,,,,,,,,,,ATL,IND,11/1/14,2015,0,IND,1485.8804,1524.3203,0.587676507,0.412323493,102,92
27,,,,,,,,,,,,,,,,,,,L,CHO,MEM,11/1/14,,,,,,,,,,,,,,,,,,,,CHO,MEM,11/1/14,2015,0,MEM,1512.225,1592.4651,0.528406161,0.471593839,69,71
28,,,,,,,,,,,,,,,,,,,L,DET,BRK,11/1/14,,,,,,,,,,,,,,,,,,,,DET,BRK,11/1/14,2015,0,BRK,1381.8267,1502.0939,0.470866193,0.529133807,90,102
29,,,,,,,,,,,,,,,,,,,W,GSW,LAL,11/1/14,,,,,,,,,,,,,,,,,,,,GSW,LAL,11/1/14,2015,0,LAL,1602.8633,1400.4835,0.850768092,0.149231908,127,104
30,,,,,,,,,,,,,,,,,,,W,HOU,BOS,11/1/14,,,,,,,,,,,,,,,,,,,,HOU,BOS,11/1/14,2015,0,BOS,1614.0786,1394.7191,0.862757126,0.137242874,104,90
31,,,,,,,,,,,,,,,,,,,L,MIN,CHI,11/1/14,,,,,,,,,,,,,,,,,,,,MIN,CHI,11/1/14,2015,0,CHI,1513.0288,1557.6185,0.579072561,0.420927439,105,106
32,,,,,,,,,,,,,,,,,,,L,NOP,DAL,11/1/14,,,,,,,,,,,,,,,,,,,,NOP,DAL,11/1/14,2015,0,DAL,1463.354,1593.6544,0.456504437,0.543495563,104,109
33,,,,,,,,,,,,,,,,,,,W,OKC,DEN,11/1/14,,,,,,,,,,,,,,,,,,,,OKC,DEN,11/1/14,2015,0,DEN,1604.2545,1477.7131,0.786520357,0.213479643,102,91
34,,,,,,,,,,,,,,,,,,,L,ORL,TOR,11/1/14,,,,,,,,,,,,,,,,,,,,ORL,TOR,11/1/14,2015,0,TOR,1347.2158,1554.9813,0.349702289,0.650297711,95,108
35,,,,,,,,,,,,,,,,,,,L,PHI,MIA,11/1/14,,,,,,,,,,,,,,,,,,,,PHI,MIA,11/1/14,2015,0,MIA,1306.175,1585.8995,0.262197645,0.737802355,96,114
36,,,,,,,,,,,,,,,,,,,W,UTA,PHO,11/1/14,,,,,,,,,,,,,,,,,,,,UTA,PHO,11/1/14,2015,0,PHO,1363.7863,1573.3562,0.347343887,0.652656113,118,91
37,,,,,,,,,,,,,,,,,,,W,WAS,MIL,11/1/14,,,,,,,,,,,,,,,,,,,,WAS,MIL,11/1/14,2015,0,MIL,1540.9893,1324.2878,0.860935338,0.139064662,108,97
38,,,,,,,,,,,,,,,,,,,L,LAC,SAC,11/2/14,,,,,,,,,,,,,,,,,,,,LAC,SAC,11/2/14,2015,0,SAC,1638.92,1431.0991,0.85470119,0.14529881,92,98
39,,,,,,,,,,,,,,,,,,,W,MIA,TOR,11/2/14,,,,,,,,,,,,,,,,,,,,MIA,TOR,11/2/14,2015,0,TOR,1592.8823,1562.8708,0.678831353,0.321168647,107,102
40,,,,,,,,,,,,,,,,,,,W,NYK,CHO,11/2/14,,,,,,,,,,,,,,,,,,,,NYK,CHO,11/2/14,2015,0,CHO,1517.9955,1507.0366,0.654466494,0.345533506,96,93
41,,,,,,,,,,,,,,,,,,,L,POR,GSW,11/2/14,,,,,,,,,,,,,,,,,,,,POR,GSW,11/2/14,2015,0,GSW,1567.9905,1607.2056,0.586594787,0.413405213,90,95
42,,,,,,,,,,,,,,,,,,,W,BRK,OKC,11/3/14,,,,,,,,,,,,,,,,,,,,BRK,OKC,11/3/14,2015,0,OKC,1512.8772,1608.2346,0.506680841,0.493319159,116,85
43,,,,,,,,,,,,,,,,,,,W,DAL,BOS,11/3/14,,,,,,,,,,,,,,,,,,,,DAL,BOS,11/3/14,2015,0,BOS,1599.9275,1391.9072,0.854843678,0.145156322,118,113
44,,,,,,,,,,,,,,,,,,,L,DEN,SAC,11/3/14,,,,,,,,,,,,,,,,,,,,DEN,SAC,11/3/14,2015,0,SAC,1473.733,1448.6361,0.672632482,0.327367518,105,110
45,,,,,,,,,,,,,,,,,,,W,LAC,UTA,11/3/14,,,,,,,,,,,,,,,,,,,,LAC,UTA,11/3/14,2015,0,UTA,1621.3831,1392.7725,0.868941803,0.131058197,107,101
46,,,,,,,,,,,,,,,,,,,W,MEM,NOP,11/3/14,,,,,,,,,,,,,,,,,,,,MEM,NOP,11/3/14,2015,0,NOP,1597.6534,1457.0809,0.799768263,0.200231737,93,81
47,,,,,,,,,,,,,,,,,,,L,PHI,HOU,11/3/14,,,,,,,,,,,,,,,,,,,,PHI,HOU,11/3/14,2015,0,HOU,1299.1923,1616.8905,0.222151607,0.777848393,93,104
48,,,,,,,,,,,,,,,,,,,W,CHI,ORL,11/4/14,,,,,,,,,,,,,,,,,,,,CHI,ORL,11/4/14,2015,0,ORL,1562.5167,1339.3263,0.865347467,0.134652533,98,90
49,,,,,,,,,,,,,,,,,,,L,IND,MIL,11/4/14,,,,,,,,,,,,,,,,,,,,IND,MIL,11/4/14,2015,0,MIL,1516.1642,1321.8444,0.844781074,0.155218926,81,87
50,,,,,,,,,,,,,,,,,,,L,LAL,PHO,11/4/14,,,,,,,,,,,,,,,,,,,,LAL,PHO,11/4/14,2015,0,PHO,1396.1412,1544.37,0.431035573,0.568964427,106,112
51,,,,,,,,,,,,,,,,,,,L,MIA,HOU,11/4/14,,,,,,,,,,,,,,,,,,,,MIA,HOU,11/4/14,2015,0,HOU,1596.9768,1621.0573,0.607550581,0.392449419,91,108
52,,,,,,,,,,,,,,,,,,,W,NOP,CHO,11/4/14,,,,,,,,,,,,,,,,,,,,NOP,CHO,11/4/14,2015,0,CHO,1453.1731,1503.4882,0.571018858,0.428981142,100,91
53,,,,,,,,,,,,,,,,,,,L,NYK,WAS,11/4/14,,,,,,,,,,,,,,,,,,,,NYK,WAS,11/4/14,2015,0,WAS,1521.5439,1543.4327,0.610554639,0.389445361,83,98
54,,,,,,,,,,,,,,,,,,,W,POR,CLE,11/4/14,,,,,,,,,,,,,,,,,,,,POR,CLE,11/4/14,2015,0,CLE,1559.3123,1469.7677,0.748590012,0.251409988,101,82
55,,,,,,,,,,,,,,,,,,,W,TOR,OKC,11/4/14,,,,,,,,,,,,,,,,,,,,TOR,OKC,11/4/14,2015,0,OKC,1558.7764,1586.222,0.602922383,0.397077617,100,88
56,,,,,,,,,,,,,,,,,,,L,BOS,TOR,11/5/14,,,,,,,,,,,,,,,,,,,,BOS,TOR,11/5/14,2015,0,TOR,1390.2681,1567.5104,0.390635331,0.609364669,107,110
57,,,,,,,,,,,,,,,,,,,L,BRK,MIN,11/5/14,,,,,,,,,,,,,,,,,,,,BRK,MIN,11/5/14,2015,0,MIN,1534.8898,1508.1306,0.674736059,0.325263941,91,98
58,,,,,,,,,,,,,,,,,,,W,CHO,MIA,11/5/14,,,,,,,,,,,,,,,,,,,,CHO,MIA,11/5/14,2015,0,MIA,1495.4562,1578.0277,0.525060611,0.474939389,96,89
59,,,,,,,,,,,,,,,,,,,W,DET,NYK,11/5/14,,,,,,,,,,,,,,,,,,,,DET,NYK,11/5/14,2015,0,NYK,1371.0433,1504.0078,0.452702113,0.547297887,98,95
60,,,,,,,,,,,,,,,,,,,W,GSW,LAC,11/5/14,,,,,,,,,,,,,,,,,,,,GSW,LAC,11/5/14,2015,0,LAC,1615.8838,1622.988,0.630590573,0.369409427,121,104
61,,,,,,,,,,,,,,,,,,,L,MIL,CHI,11/5/14,,,,,,,,,,,,,,,,,,,,MIL,CHI,11/5/14,2015,0,CHI,1338.9329,1564.4595,0.32682308,0.67317692,86,95
