,Unnamed: 0,Unnamed: 0.1,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,2H,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1245,1246,1246,2017418,2017,BOS,CHI,1575.965517,1529.281694,0.699386883,0.300613117,97,111,Chicago,31,23,32,25,290,103,20,29,22,-350,206.5,-7.5,A,3868,3,L ,105.625,107.125,85,0.448,50.875,0.52775,34.125,0.3245,24.5,0.75025,88.625,0.448375,60.875,0.50875,27.75,0.31725,22.125,0.85475,1246,2017418,2017,BOS,CHI,1575.965517,1529.281694,0.699386883,0.300613117,97,111,Chicago,31,23,32,25,290,103,20,29,22,-350,206.5,-7.5,A,3868,3,L ,102.75,107.75,87.5,0.43675,58.25,0.500375,29.25,0.3065,22.375,0.747875,89.125,0.460125,62.75,0.494625,26.375,0.38275,18.625,0.835625
1246,1247,1247,2017418,2017,LAC,UTA,1628.513646,1624.245012,0.645706296,0.354293704,99,91,Utah,18,24,28,21,400,103.5,22,28,20,-500,200,-9,H,3869,0,W ,111.375,100.75,80.5,0.503125,53.875,0.569125,26.625,0.368375,26,0.779625,83.375,0.455875,57,0.502875,26.375,0.370375,21.5,0.717625,1247,2017418,2017,LAC,UTA,1628.513646,1624.245012,0.645706296,0.354293704,99,91,Utah,18,24,28,21,400,103.5,22,28,20,-500,200,-9,H,3869,0,W ,100,98.625,82.375,0.4655,59.875,0.504375,22.5,0.3555,18.625,0.803125,82.625,0.460125,57.125,0.50675,25.5,0.35625,18.75,0.7125
1247,1245,1245,2017418,2017,TOR,MIL,1577.169087,1525.461785,0.705431361,0.294568639,106,100,Milwaukee,25,27,31,17,310,95,27,29,22,-370,194.5,-8,H,3870,12,W ,108.5,104.75,83.125,0.4735,59.75,0.495125,23.375,0.419375,27.75,0.723875,85.75,0.4415,58.25,0.47275,27.5,0.378,23.125,0.80475,1245,2017418,2017,TOR,MIL,1577.169087,1525.461785,0.705431361,0.294568639,106,100,Milwaukee,25,27,31,17,310,95,27,29,22,-370,194.5,-8,H,3870,12,W ,100.625,96.25,81.5,0.435,51.75,0.502125,29.75,0.312125,26.25,0.77425,79.875,0.464375,56.125,0.51525,23.75,0.351,18.125,0.779875
1248,1250,1250,2017419,2017,GSW,POR,1772.353692,1560.547457,0.8575271,0.1424729,110,81,Portland,17,29,12,23,600,113.5,22,28,27,-900,218.5,-12,H,3871,2,W ,116.125,101.25,88.125,0.49625,56.5,0.567625,31.625,0.36775,21.375,0.800875,91.625,0.42575,64.125,0.47675,27.5,0.29025,20.375,0.722,1250,2017419,2017,GSW,POR,1772.353692,1560.547457,0.8575271,0.1424729,110,81,Portland,17,29,12,23,600,113.5,22,28,27,-900,218.5,-12,H,3871,2,W ,104.375,102.625,84.75,0.46075,60.5,0.500375,24.25,0.369875,22.875,0.765,86.375,0.43675,59.375,0.471125,27,0.36625,21.5,0.822125
1249,1249,1249,2017419,2017,HOU,OKC,1613.002371,1531.365483,0.739926386,0.260073614,115,111,OklahomaCity,35,33,21,22,280,111,36,24,29,-340,225.5,-7.5,H,3872,3,W ,116.875,109.875,87.125,0.472375,48.125,0.58475,39,0.33275,28.875,0.747,94.25,0.448875,62.375,0.52525,31.875,0.31925,19.75,0.783625,1249,2017419,2017,HOU,OKC,1613.002371,1531.365483,0.739926386,0.260073614,115,111,OklahomaCity,35,33,21,22,280,111,36,24,29,-340,225.5,-7.5,H,3872,3,W ,106.625,101.5,84.625,0.463375,57.25,0.526125,27.375,0.336375,25.125,0.7755,90.5,0.411375,62.625,0.4605,27.875,0.29375,24.625,0.770125
1250,1248,1248,2017419,2017,WAS,ATL,1590.630545,1475.478091,0.775305786,0.224694214,109,101,Atlanta,24,19,35,23,210,110,28,23,35,-250,211,-6,H,3873,14,W ,112,106.5,90.875,0.46725,63.125,0.507375,27.75,0.37025,21,0.814375,81.375,0.466875,56.875,0.534125,24.5,0.304875,29.125,0.774125,1248,2017419,2017,WAS,ATL,1590.630545,1475.478091,0.775305786,0.224694214,109,101,Atlanta,24,19,35,23,210,110,28,23,35,-250,211,-6,H,3873,14,W ,102,98.75,86.375,0.44725,56.5,0.521,29.875,0.319,18.375,0.85225,81.375,0.42725,56,0.4615,25.375,0.355,24.25,0.827
1251,1251,1251,2017420,2017,IND,CLE,1518.516197,1552.05821,0.594491101,0.405508899,114,119,Cleveland,27,22,35,35,-120,8,37,17,23,100,210,1.5,A,3874,11,L ,109.375,102.25,87.25,0.4565,63,0.4715,24.25,0.417375,23.375,0.84425,80.25,0.4475,51.125,0.491,29.125,0.352625,24.5,0.802125,1251,2017420,2017,IND,CLE,1518.516197,1552.05821,0.594491101,0.405508899,114,119,Cleveland,27,22,35,35,-120,8,37,17,23,100,210,1.5,A,3874,11,L ,111,108.875,90.875,0.44875,59.25,0.512125,31.625,0.336375,24.75,0.773,86.375,0.468375,51.875,0.52975,34.5,0.360625,19.625,0.773125
1252,1253,1253,2017420,2017,MEM,SAS,1473.146074,1670.223996,0.363819274,0.636180726,105,94,SanAntonio,21,25,17,31,-170,5,29,31,24,148,188,3.5,H,3875,13,W ,100.25,96.375,78.5,0.46425,52.25,0.489625,26.25,0.409375,19.625,0.844875,79.75,0.439,50.75,0.484125,29,0.36525,21.75,0.72175,1253,2017420,2017,MEM,SAS,1473.146074,1670.223996,0.363819274,0.636180726,105,94,SanAntonio,21,25,17,31,-170,5,29,31,24,148,188,3.5,H,3875,13,W ,98.5,97.375,81.125,0.449125,57.75,0.47625,23.375,0.379,20.875,0.789,82.25,0.446625,58.25,0.488,24,0.350375,21.75,0.738875
1253,1252,1252,2017420,2017,MIL,TOR,1521.399205,1581.231667,0.55754956,0.44245044,104,77,Toronto,12,18,16,31,110,6.5,25,21,26,-130,197,-2,H,3876,0,W ,100.125,94.5,78.625,0.470125,52.75,0.5005,25.875,0.408625,20.25,0.781625,80.75,0.446,58.25,0.502,22.5,0.313625,19.5,0.758375,1252,2017420,2017,MIL,TOR,1521.399205,1581.231667,0.55754956,0.44245044,104,77,Toronto,12,18,16,31,110,6.5,25,21,26,-130,197,-2,H,3876,0,W ,92.375,95.25,81.125,0.4275,55.5,0.476625,25.625,0.323375,19.75,0.764375,79.375,0.443625,54,0.509125,25.375,0.309625,20.5,0.810375
1254,1254,1254,2017421,2017,CHI,BOS,1549.664097,1555.583114,0.632178418,0.367821582,87,104,Boston,33,11,32,28,-135,0.5,26,22,24,115,205.5,2.5,A,3877,2,L ,105.625,93.375,86.75,0.465875,62,0.483375,24.75,0.41975,18.5,0.809875,85.125,0.42725,57.375,0.486,27.75,0.306,17.375,0.697125,1254,2017421,2017,CHI,BOS,1549.664097,1555.583114,0.632178418,0.367821582,87,104,Boston,33,11,32,28,-135,0.5,26,22,24,115,205.5,2.5,A,3877,2,L ,102.875,105.75,85.25,0.440375,57,0.4985,28.25,0.32875,22.75,0.803125,83.625,0.45325,49.125,0.535125,34.5,0.340625,23,0.78675
