,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
29,29,20181020,2019,MIA,CHO,1499.015512,1518.448442,0.61391083,0.38608917,112,113,Charlotte,34,38,20,21,135,29,23,30,30,-155,220.5,-3.5,A,5279,1,L ,,,,,,,,,,,,,,,,,,,29,20181020,2019,MIA,CHO,1499.015512,1518.448442,0.61391083,0.38608917,112,113,Charlotte,34,38,20,21,135,29,23,30,30,-155,220.5,-3.5,A,5279,1,L ,,,,,,,,,,,,,,,,,,
28,28,20181020,2019,NYK,BOS,1416.078229,1566.42645,0.42804606,0.57195394,101,103,Boston,31,19,27,26,-500,18,30,22,31,384,210.5,9.5,A,5280,2,L ,,,,,,,,,,,,,,,,,,,28,20181020,2019,NYK,BOS,1416.078229,1566.42645,0.42804606,0.57195394,101,103,Boston,31,19,27,26,-500,18,30,22,31,384,210.5,9.5,A,5280,2,L ,,,,,,,,,,,,,,,,,,
27,27,20181020,2019,PHI,ORL,1597.968529,1361.997583,0.873691965,0.126308035,116,115,Orlando,32,20,34,29,797,30,33,26,27,-1300,217.5,-12.5,H,5281,3,W ,,,,,,,,,,,,,,,,,,,27,20181020,2019,PHI,ORL,1597.968529,1361.997583,0.873691965,0.126308035,116,115,Orlando,32,20,34,29,797,30,33,26,27,-1300,217.5,-12.5,H,5281,3,W ,,,,,,,,,,,,,,,,,,
33,33,20181020,2019,POR,SAS,1565.033366,1543.878354,0.667616462,0.332383538,121,108,SanAntonio,22,28,32,26,172,22,37,38,24,-205,214,-5,H,5282,10,W ,,,,,,,,,,,,,,,,,,,33,20181020,2019,POR,SAS,1565.033366,1543.878354,0.667616462,0.332383538,121,108,SanAntonio,22,28,32,26,172,22,37,38,24,-205,214,-5,H,5282,10,W ,,,,,,,,,,,,,,,,,,
26,26,20181020,2019,WAS,TOR,1494.474324,1591.116337,0.504832382,0.495167618,113,117,Toronto,24,33,33,27,110,22,32,28,31,-130,219.5,-2,A,5283,19,L ,,,,,,,,,,,,,,,,,,,26,20181020,2019,WAS,TOR,1494.474324,1591.116337,0.504832382,0.495167618,113,117,Toronto,24,33,33,27,110,22,32,28,31,-130,219.5,-2,A,5283,19,L ,,,,,,,,,,,,,,,,,,
35,35,20181021,2019,CLE,ATL,1544.961726,1369.249374,0.830211632,0.169788368,111,133,Atlanta,24,40,28,41,303,34,26,26,25,-380,232.5,-8,A,5284,3,L ,,,,,,,,,,,,,,,,,,,35,20181021,2019,CLE,ATL,1544.961726,1369.249374,0.830211632,0.169788368,111,133,Atlanta,24,40,28,41,303,34,26,26,25,-380,232.5,-8,A,5284,3,L ,,,,,,,,,,,,,,,,,,
37,37,20181021,2019,DEN,GSW,1582.037167,1693.212414,0.483923072,0.516076928,100,98,GoldenState,25,24,21,28,-189,17,30,33,20,163,230.5,4.5,H,5285,8,W ,,,,,,,,,,,,,,,,,,,37,20181021,2019,DEN,GSW,1582.037167,1693.212414,0.483923072,0.516076928,100,98,GoldenState,25,24,21,28,-189,17,30,33,20,163,230.5,4.5,H,5285,8,W ,,,,,,,,,,,,,,,,,,
38,38,20181021,2019,LAC,HOU,1507.98965,1634.582114,0.461804925,0.538195075,115,112,Houston,24,29,31,28,115,29,25,39,22,-135,220.5,-2.5,H,5286,18,W ,,,,,,,,,,,,,,,,,,,38,20181021,2019,LAC,HOU,1507.98965,1634.582114,0.461804925,0.538195075,115,112,Houston,24,29,31,28,115,29,25,39,22,-135,220.5,-2.5,H,5286,18,W ,,,,,,,,,,,,,,,,,,
36,36,20181021,2019,OKC,SAC,1567.227839,1387.949386,0.8330857,0.1669143,120,131,Sacramento,34,34,29,34,477,32,24,34,30,-650,222.5,-10.5,A,5287,7,L ,,,,,,,,,,,,,,,,,,,36,20181021,2019,OKC,SAC,1567.227839,1387.949386,0.8330857,0.1669143,120,131,Sacramento,34,34,29,34,477,32,24,34,30,-650,222.5,-10.5,A,5287,7,L ,,,,,,,,,,,,,,,,,,
40,40,20181022,2019,BOS,ORL,1570.402809,1361.192831,0.855691398,0.144308602,90,93,Orlando,28,20,27,18,611,19,26,25,20,-894,211.5,-11,A,5288,0,L ,,,,,,,,,,,,,,,,,,,40,20181022,2019,BOS,ORL,1570.402809,1361.192831,0.855691398,0.144308602,90,93,Orlando,28,20,27,18,611,19,26,25,20,-894,211.5,-11,A,5288,0,L ,,,,,,,,,,,,,,,,,,
43,43,20181022,2019,DAL,CHI,1387.202242,1356.200116,0.680073339,0.319926661,115,109,Chicago,28,33,23,25,170,31,28,29,27,-200,229,-5,H,5289,17,W ,,,,,,,,,,,,,,,,,,,43,20181022,2019,DAL,CHI,1387.202242,1356.200116,0.680073339,0.319926661,115,109,Chicago,28,33,23,25,170,31,28,29,27,-200,229,-5,H,5289,17,W ,,,,,,,,,,,,,,,,,,
47,47,20181022,2019,GSW,PHO,1688.180197,1344.275974,0.927929979,0.072070021,123,103,Phoenix,23,24,34,22,797,32,38,36,17,-1300,227.5,-12.5,H,5290,2,W ,,,,,,,,,,,,,,,,,,,47,20181022,2019,GSW,PHO,1688.180197,1344.275974,0.927929979,0.072070021,123,103,Phoenix,23,24,34,22,797,32,38,36,17,-1300,227.5,-12.5,H,5290,2,W ,,,,,,,,,,,,,,,,,,
46,46,20181022,2019,LAL,SAS,1477.943541,1536.45282,0.559427714,0.440572286,142,143,SanAntonio,40,25,34,29,110,26,34,36,32,-130,226.5,-2,A,5291,11,L ,,,,,,,,,,,,,,,,,,,46,20181022,2019,LAL,SAS,1477.943541,1536.45282,0.559427714,0.440572286,142,143,SanAntonio,40,25,34,29,110,26,34,36,32,-130,226.5,-2,A,5291,11,L ,,,,,,,,,,,,,,,,,,
41,41,20181022,2019,MIL,NYK,1534.631462,1412.10187,0.782617109,0.217382891,124,113,NewYork,29,23,35,26,614,33,38,17,36,-900,227,-11.5,H,5292,2,W ,,,,,,,,,,,,,,,,,,,41,20181022,2019,MIL,NYK,1534.631462,1412.10187,0.782617109,0.217382891,124,113,NewYork,29,23,35,26,614,33,38,17,36,-900,227,-11.5,H,5292,2,W ,,,,,,,,,,,,,,,,,,
42,42,20181022,2019,MIN,IND,1531.670592,1555.198635,0.608308585,0.391691415,101,91,Indiana,28,21,24,18,110,25,25,22,29,-130,229.5,-2,H,5293,14,W ,,,,,,,,,,,,,,,,,,,42,20181022,2019,MIN,IND,1531.670592,1555.198635,0.608308585,0.391691415,101,91,Indiana,28,21,24,18,110,25,25,22,29,-130,229.5,-2,H,5293,14,W ,,,,,,,,,,,,,,,,,,
45,45,20181022,2019,POR,WAS,1572.4589,1488.071632,0.742961517,0.257038483,124,125,Washington,28,34,16,33,160,32,30,15,34,-185,228,-4.5,A,5294,29,L ,,,,,,,,,,,,,,,,,,,45,20181022,2019,POR,WAS,1572.4589,1488.071632,0.742961517,0.257038483,124,125,Washington,28,34,16,33,160,32,30,15,34,-185,228,-4.5,A,5294,29,L ,,,,,,,,,,,,,,,,,,
39,39,20181022,2019,TOR,CHO,1597.519029,1523.753091,0.731113065,0.268886935,127,106,Charlotte,22,25,32,27,317,31,31,35,30,-400,225,-8.5,H,5295,0,W ,,,,,,,,,,,,,,,,,,,39,20181022,2019,TOR,CHO,1597.519029,1523.753091,0.731113065,0.268886935,127,106,Charlotte,22,25,32,27,317,31,31,35,30,-400,225,-8.5,H,5295,0,W ,,,,,,,,,,,,,,,,,,
44,44,20181022,2019,UTA,MEM,1623.314619,1371.215006,0.883587283,0.116412717,84,92,Memphis,19,28,23,22,506,22,24,17,21,-700,213.5,-11,A,5296,8,L ,,,,,,,,,,,,,,,,,,,44,20181022,2019,UTA,MEM,1623.314619,1371.215006,0.883587283,0.116412717,84,92,Memphis,19,28,23,22,506,22,24,17,21,-700,213.5,-11,A,5296,8,L ,,,,,,,,,,,,,,,,,,
50,50,20181023,2019,DEN,SAC,1587.069384,1411.574623,0.830034998,0.169965002,126,112,Sacramento,26,29,26,31,614,33,35,37,21,-900,229.5,-12,H,5297,0,W ,,,,,,,,,,,,,,,,,,,50,20181023,2019,DEN,SAC,1587.069384,1411.574623,0.830034998,0.169965002,126,112,Sacramento,26,29,26,31,614,33,35,37,21,-900,229.5,-12,H,5297,0,W ,,,,,,,,,,,,,,,,,,
48,48,20181023,2019,DET,PHI,1499.090912,1598.773282,0.500457106,0.499542894,133,132,Philadelphia,28,36,30,26,-120,27,34,26,33,100,214.5,1,H,5298,25,W ,,,,,,,,,,,,,,,,,,,48,20181023,2019,DET,PHI,1499.090912,1598.773282,0.500457106,0.499542894,133,132,Philadelphia,28,36,30,26,-120,27,34,26,33,100,214.5,1,H,5298,25,W ,,,,,,,,,,,,,,,,,,
49,49,20181023,2019,NOP,LAC,1596.847544,1514.138138,0.741112703,0.258887297,116,109,LAClippers,26,36,22,25,203,27,32,32,25,-245,237.5,-5.5,H,5299,8,W ,,,,,,,,,,,,,,,,,,,49,20181023,2019,NOP,LAC,1596.847544,1514.138138,0.741112703,0.258887297,116,109,LAClippers,26,36,22,25,203,27,32,32,25,-245,237.5,-5.5,H,5299,8,W ,,,,,,,,,,,,,,,,,,
52,52,20181024,2019,ATL,DAL,1406.551396,1391.680704,0.659540871,0.340459129,111,104,Dallas,42,16,29,17,-130,22,26,32,31,110,235.5,2,H,5300,3,W ,,,,,,,,,,,,,,,,,,,52,20181024,2019,ATL,DAL,1406.551396,1391.680704,0.659540871,0.340459129,111,104,Dallas,42,16,29,17,-130,22,26,32,31,110,235.5,2,H,5300,3,W ,,,,,,,,,,,,,,,,,,
56,56,20181024,2019,CHI,CHO,1351.721655,1515.751454,0.408882942,0.591117058,112,110,Charlotte,27,26,29,28,-200,24,30,34,24,170,229.5,4.5,H,5301,21,W ,,,,,,,,,,,,,,,,,,,56,20181024,2019,CHI,CHO,1351.721655,1515.751454,0.408882942,0.591117058,112,110,Charlotte,27,26,29,28,-200,24,30,34,24,170,229.5,4.5,H,5301,21,W ,,,,,,,,,,,,,,,,,,
51,51,20181024,2019,CLE,BRK,1507.659704,1426.38679,0.739522991,0.260477009,86,102,Brooklyn,24,21,38,19,125,17,28,17,24,-145,226,-2.5,A,5302,11,L ,,,,,,,,,,,,,,,,,,,51,20181024,2019,CLE,BRK,1507.659704,1426.38679,0.739522991,0.260477009,86,102,Brooklyn,24,21,38,19,125,17,28,17,24,-145,226,-2.5,A,5302,11,L ,,,,,,,,,,,,,,,,,,
61,61,20181024,2019,GSW,WAS,1689.922513,1495.116838,0.845147469,0.154852531,144,122,Washington,37,34,26,25,450,46,34,35,29,-650,235.5,-10,H,5303,4,W ,,,,,,,,,,,,,,,,,,,61,20181024,2019,GSW,WAS,1689.922513,1495.116838,0.845147469,0.154852531,144,122,Washington,37,34,26,25,450,46,34,35,29,-650,235.5,-10,H,5303,4,W ,,,,,,,,,,,,,,,,,,
55,55,20181024,2019,HOU,UTA,1628.433626,1600.978167,0.675615064,0.324384936,89,100,Utah,24,28,23,25,-105,29,15,22,23,-115,217.5,-1,A,5304,8,L ,,,,,,,,,,,,,,,,,,,55,20181024,2019,HOU,UTA,1628.433626,1600.978167,0.675615064,0.324384936,89,100,Utah,24,28,23,25,-105,29,15,22,23,-115,217.5,-1,A,5304,8,L ,,,,,,,,,,,,,,,,,,
53,53,20181024,2019,MIA,NYK,1493.710862,1408.037975,0.744372268,0.255627732,110,87,NewYork,27,18,20,22,300,16,31,45,18,-400,218,-8,H,5305,10,W ,,,,,,,,,,,,,,,,,,,53,20181024,2019,MIA,NYK,1493.710862,1408.037975,0.744372268,0.255627732,110,87,NewYork,27,18,20,22,300,16,31,45,18,-400,218,-8,H,5305,10,W ,,,,,,,,,,,,,,,,,,
58,58,20181024,2019,MIL,PHI,1538.695357,1594.736092,0.562927035,0.437072965,123,108,Philadelphia,34,30,17,27,180,22,49,21,31,-220,228.5,-5,H,5306,1,W ,,,,,,,,,,,,,,,,,,,58,20181024,2019,MIL,PHI,1538.695357,1594.736092,0.562927035,0.437072965,123,108,Philadelphia,34,30,17,27,180,22,49,21,31,-220,228.5,-5,H,5306,1,W ,,,,,,,,,,,,,,,,,,
59,59,20181024,2019,PHO,LAL,1342.533658,1473.265966,0.455887642,0.544112358,113,131,LALakers,32,44,30,25,-230,30,24,32,27,185,238,5.5,A,5307,8,L ,,,,,,,,,,,,,,,,,,,59,20181024,2019,PHO,LAL,1342.533658,1473.265966,0.455887642,0.544112358,113,131,LALakers,32,44,30,25,-230,30,24,32,27,185,238,5.5,A,5307,8,L ,,,,,,,,,,,,,,,,,,
