,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
0,0,20181016,2019,BOS,PHI,1561.524193,1607.057688,0.577747734,0.422252266,105,87,Philadelphia,21,21,24,21,170,21,26,30,28,-200,211.5,-4.5,H,5249,1,W ,,,,,,,,,,,,,,,,,,,0,20181016,2019,BOS,PHI,1561.524193,1607.057688,0.577747734,0.422252266,105,87,Philadelphia,21,21,24,21,170,21,26,30,28,-200,211.5,-4.5,H,5249,1,W ,,,,,,,,,,,,,,,,,,
1,1,20181016,2019,GSW,OKC,1684.816393,1584.317968,0.76027025,0.23972975,108,100,OklahomaCity,23,24,32,21,711,31,26,26,25,-1100,220.5,-12,H,5250,4,W ,,,,,,,,,,,,,,,,,,,1,20181016,2019,GSW,OKC,1684.816393,1584.317968,0.76027025,0.23972975,108,100,OklahomaCity,23,24,32,21,711,31,26,26,25,-1100,220.5,-12,H,5250,4,W ,,,,,,,,,,,,,,,,,,
5,5,20181017,2019,CHO,MIL,1501.955313,1517.813792,0.618776312,0.381223688,112,113,Milwaukee,36,31,26,20,-165,23,31,29,29,144,222,3,A,5251,2,L ,,,,,,,,,,,,,,,,,,,5,20181017,2019,CHO,MIL,1501.955313,1517.813792,0.618776312,0.381223688,112,113,Milwaukee,36,31,26,20,-165,23,31,29,29,144,222,3,A,5251,2,L ,,,,,,,,,,,,,,,,,,
4,4,20181017,2019,DET,BRK,1492.025381,1432.381866,0.714834625,0.285165375,103,100,Brooklyn,29,22,25,24,211,24,27,32,20,-255,213,-6,H,5252,9,W ,,,,,,,,,,,,,,,,,,,4,20181017,2019,DET,BRK,1492.025381,1432.381866,0.714834625,0.285165375,103,100,Brooklyn,29,22,25,24,211,24,27,32,20,-255,213,-6,H,5252,9,W ,,,,,,,,,,,,,,,,,,
8,8,20181017,2019,HOU,NOP,1654.095907,1565.012972,0.748089521,0.251910479,112,131,NewOrleans,35,36,30,30,278,29,25,30,28,-345,233,-8,A,5253,0,L ,,,,,,,,,,,,,,,,,,,8,20181017,2019,HOU,NOP,1654.095907,1565.012972,0.748089521,0.251910479,112,131,NewOrleans,35,36,30,30,278,29,25,30,28,-345,233,-8,A,5253,0,L ,,,,,,,,,,,,,,,,,,
3,3,20181017,2019,IND,MEM,1554.98701,1367.427292,0.839609684,0.160390316,111,83,Memphis,16,23,19,25,263,27,29,20,35,-325,204.5,-7.5,H,5254,0,W ,,,,,,,,,,,,,,,,,,,3,20181017,2019,IND,MEM,1554.98701,1367.427292,0.839609684,0.160390316,111,83,Memphis,16,23,19,25,263,27,29,20,35,-325,204.5,-7.5,H,5254,0,W ,,,,,,,,,,,,,,,,,,
11,11,20181017,2019,LAC,DEN,1505.831923,1566.552652,0.556287806,0.443712194,98,107,Denver,29,30,15,33,-125,24,30,18,26,105,222.5,2,A,5255,9,L ,,,,,,,,,,,,,,,,,,,11,20181017,2019,LAC,DEN,1505.831923,1566.552652,0.556287806,0.443712194,98,107,Denver,29,30,15,33,-125,24,30,18,26,105,222.5,2,A,5255,9,L ,,,,,,,,,,,,,,,,,,
7,7,20181017,2019,NYK,ATL,1409.590805,1388.023047,0.668143488,0.331856512,126,107,Atlanta,24,25,35,23,148,23,49,34,20,-170,216.5,-4,H,5256,3,W ,,,,,,,,,,,,,,,,,,,7,20181017,2019,NYK,ATL,1409.590805,1388.023047,0.668143488,0.331856512,126,107,Atlanta,24,25,35,23,148,23,49,34,20,-170,216.5,-4,H,5256,3,W ,,,,,,,,,,,,,,,,,,
2,2,20181017,2019,ORL,MIA,1377.813714,1499.3165,0.469094454,0.530905546,104,101,Miami,31,20,27,23,-135,25,29,25,25,115,208,2.5,H,5257,13,W ,,,,,,,,,,,,,,,,,,,2,20181017,2019,ORL,MIA,1377.813714,1499.3165,0.469094454,0.530905546,104,101,Miami,31,20,27,23,-135,25,29,25,25,115,208,2.5,H,5257,13,W ,,,,,,,,,,,,,,,,,,
12,12,20181017,2019,PHO,DAL,1334.044894,1393.956943,0.557436539,0.442563461,121,100,Dallas,24,22,27,27,-130,37,19,27,38,110,212.5,2.5,H,5258,1,W ,,,,,,,,,,,,,,,,,,,12,20181017,2019,PHO,DAL,1334.044894,1393.956943,0.557436539,0.442563461,121,100,Dallas,24,22,27,27,-130,37,19,27,38,110,212.5,2.5,H,5258,1,W ,,,,,,,,,,,,,,,,,,
10,10,20181017,2019,SAC,UTA,1396.480976,1623.395261,0.325068044,0.674931956,117,123,Utah,30,38,25,30,-400,34,21,32,30,317,205.5,8.5,A,5259,7,L ,,,,,,,,,,,,,,,,,,,10,20181017,2019,SAC,UTA,1396.480976,1623.395261,0.325068044,0.674931956,117,123,Utah,30,38,25,30,-400,34,21,32,30,317,205.5,8.5,A,5259,7,L ,,,,,,,,,,,,,,,,,,
9,9,20181017,2019,SAS,MIN,1539.712298,1537.052627,0.643584596,0.356415404,112,108,Minnesota,23,29,31,25,125,31,25,25,31,-145,212,-2.5,H,5260,6,W ,,,,,,,,,,,,,,,,,,,9,20181017,2019,SAS,MIN,1539.712298,1537.052627,0.643584596,0.356415404,112,108,Minnesota,23,29,31,25,125,31,25,25,31,-145,212,-2.5,H,5260,6,W ,,,,,,,,,,,,,,,,,,
6,6,20181017,2019,TOR,CLE,1576.534421,1558.684671,0.663380986,0.336619014,116,104,Cleveland,25,22,28,29,797,28,32,30,26,-1300,215.5,-12.5,H,5261,11,W ,,,,,,,,,,,,,,,,,,,6,20181017,2019,TOR,CLE,1576.534421,1558.684671,0.663380986,0.336619014,116,104,Cleveland,25,22,28,29,797,28,32,30,26,-1300,215.5,-12.5,H,5261,11,W ,,,,,,,,,,,,,,,,,,
13,13,20181018,2019,PHI,CHI,1594.732509,1363.674266,0.870538048,0.129461952,127,108,Chicago,41,17,18,32,733,38,27,37,25,-1150,221,-12.5,H,5262,15,W ,,,,,,,,,,,,,,,,,,,13,20181018,2019,PHI,CHI,1594.732509,1363.674266,0.870538048,0.129461952,127,108,Chicago,41,17,18,32,733,38,27,37,25,-1150,221,-12.5,H,5262,15,W ,,,,,,,,,,,,,,,,,,
15,15,20181018,2019,POR,LAL,1560.337017,1490.993019,0.726079663,0.273920337,128,119,LALakers,31,32,28,28,135,34,31,28,35,-155,224,-3,H,5263,7,W ,,,,,,,,,,,,,,,,,,,15,20181018,2019,POR,LAL,1560.337017,1490.993019,0.726079663,0.273920337,128,119,LALakers,31,32,28,28,135,34,31,28,35,-155,224,-3,H,5263,7,W ,,,,,,,,,,,,,,,,,,
14,14,20181018,2019,WAS,MIA,1500.213419,1493.276418,0.649212363,0.350787637,112,113,Miami,24,34,27,28,215,25,34,30,23,-260,215,-6,A,5264,21,L ,,,,,,,,,,,,,,,,,,,14,20181018,2019,WAS,MIA,1500.213419,1493.276418,0.649212363,0.350787637,112,113,Miami,24,34,27,28,215,25,34,30,23,-260,215,-6,A,5264,21,L ,,,,,,,,,,,,,,,,,,
17,17,20181019,2019,BRK,NYK,1429.554466,1419.152832,0.653740703,0.346259297,107,105,NewYork,24,26,26,29,148,33,24,17,33,-170,222,-4,H,5265,13,W ,,,,,,,,,,,,,,,,,,,17,20181019,2019,BRK,NYK,1429.554466,1419.152832,0.653740703,0.346259297,107,105,NewYork,24,26,26,29,148,33,24,17,33,-170,222,-4,H,5265,13,W ,,,,,,,,,,,,,,,,,,
24,24,20181019,2019,LAC,OKC,1494.650957,1580.566531,0.520258022,0.479741978,108,92,OklahomaCity,20,26,31,15,130,27,21,23,37,-150,214,-3,H,5266,2,W ,,,,,,,,,,,,,,,,,,,24,20181019,2019,LAC,OKC,1494.650957,1580.566531,0.520258022,0.479741978,108,92,OklahomaCity,20,26,31,15,130,27,21,23,37,-150,214,-3,H,5266,2,W ,,,,,,,,,,,,,,,,,,
20,20,20181019,2019,MEM,ATL,1362.00336,1378.46102,0.61796235,0.38203765,131,117,Atlanta,33,28,21,35,237,37,40,29,25,-290,217,-7,H,5267,3,W ,,,,,,,,,,,,,,,,,,,20,20181019,2019,MEM,ATL,1362.00336,1378.46102,0.61796235,0.38203765,131,117,Atlanta,33,28,21,35,237,37,40,29,25,-290,217,-7,H,5267,3,W ,,,,,,,,,,,,,,,,,,
22,22,20181019,2019,MIL,IND,1523.176876,1560.410943,0.589357452,0.410642548,118,101,Indiana,25,28,23,25,144,30,32,31,25,-165,217,-3.5,H,5268,1,W ,,,,,,,,,,,,,,,,,,,22,20181019,2019,MIL,IND,1523.176876,1560.410943,0.589357452,0.410642548,118,101,Indiana,25,28,23,25,144,30,32,31,25,-165,217,-3.5,H,5268,1,W ,,,,,,,,,,,,,,,,,,
18,18,20181019,2019,MIN,CLE,1532.886571,1551.525677,0.614993376,0.385006624,131,123,Cleveland,30,24,41,28,334,32,39,33,27,-425,223,-8.5,H,5269,6,W ,,,,,,,,,,,,,,,,,,,18,20181019,2019,MIN,CLE,1532.886571,1551.525677,0.614993376,0.385006624,131,123,Cleveland,30,24,41,28,334,32,39,33,27,-425,223,-8.5,H,5269,6,W ,,,,,,,,,,,,,,,,,,
19,19,20181019,2019,NOP,SAC,1592.879896,1391.917034,0.849729556,0.150270444,149,129,Sacramento,32,31,27,39,664,40,32,38,39,-1000,232.5,-11.5,H,5270,4,W ,,,,,,,,,,,,,,,,,,,19,20181019,2019,NOP,SAC,1592.879896,1391.917034,0.849729556,0.150270444,149,129,Sacramento,32,31,27,39,664,40,32,38,39,-1000,232.5,-11.5,H,5270,4,W ,,,,,,,,,,,,,,,,,,
16,16,20181019,2019,ORL,CHO,1383.853796,1496.592229,0.481676131,0.518323869,88,120,Charlotte,22,29,31,38,-125,10,21,23,34,105,215.5,1.5,A,5271,1,L ,,,,,,,,,,,,,,,,,,,16,20181019,2019,ORL,CHO,1383.853796,1496.592229,0.481676131,0.518323869,88,120,Charlotte,22,29,31,38,-125,10,21,23,34,105,215.5,1.5,A,5271,1,L ,,,,,,,,,,,,,,,,,,
21,21,20181019,2019,TOR,BOS,1583.693415,1573.849372,0.653013774,0.346986226,113,101,Boston,25,28,26,22,135,18,31,33,31,-155,209.5,-3,H,5272,13,W ,,,,,,,,,,,,,,,,,,,21,20181019,2019,TOR,BOS,1583.693415,1573.849372,0.653013774,0.346986226,113,101,Boston,25,28,26,22,135,18,31,33,31,-155,209.5,-3,H,5272,13,W ,,,,,,,,,,,,,,,,,,
23,23,20181019,2019,UTA,GSW,1627.959203,1688.56783,0.556447085,0.443552915,123,124,GoldenState,32,37,28,27,-135,34,47,22,20,115,217.5,2.5,A,5273,33,L ,,,,,,,,,,,,,,,,,,,23,20181019,2019,UTA,GSW,1627.959203,1688.56783,0.556447085,0.443552915,123,124,GoldenState,32,37,28,27,-135,34,47,22,20,115,217.5,2.5,A,5273,33,L ,,,,,,,,,,,,,,,,,,
30,30,20181020,2019,CHI,DET,1360.438246,1494.852781,0.450634846,0.549365154,116,118,Detroit,25,35,25,33,-200,27,31,26,32,170,217,5,A,5274,10,L ,,,,,,,,,,,,,,,,,,,30,20181020,2019,CHI,DET,1360.438246,1494.852781,0.450634846,0.549365154,116,118,Detroit,25,35,25,33,-200,27,31,26,32,170,217,5,A,5274,10,L ,,,,,,,,,,,,,,,,,,
31,31,20181020,2019,DAL,MIN,1379.422313,1539.450522,0.414461913,0.585538087,140,136,Minnesota,46,23,30,37,110,37,32,28,43,-130,220.5,-2,H,5275,11,W ,,,,,,,,,,,,,,,,,,,31,20181020,2019,DAL,MIN,1379.422313,1539.450522,0.414461913,0.585538087,140,136,Minnesota,46,23,30,37,110,37,32,28,43,-130,220.5,-2,H,5275,11,W ,,,,,,,,,,,,,,,,,,
32,32,20181020,2019,DEN,PHO,1577.733617,1348.579524,0.869297682,0.130702318,119,91,Phoenix,16,33,30,12,459,30,35,27,27,-620,224.5,-10.5,H,5276,0,W ,,,,,,,,,,,,,,,,,,,32,20181020,2019,DEN,PHO,1577.733617,1348.579524,0.869297682,0.130702318,119,91,Phoenix,16,33,30,12,459,30,35,27,27,-620,224.5,-10.5,H,5276,0,W ,,,,,,,,,,,,,,,,,,
25,25,20181020,2019,IND,BRK,1548.956357,1432.629069,0.776481732,0.223518268,132,112,Brooklyn,29,29,27,27,303,33,34,28,37,-380,214.5,-8,H,5277,9,W ,,,,,,,,,,,,,,,,,,,25,20181020,2019,IND,BRK,1548.956357,1432.629069,0.776481732,0.223518268,132,112,Brooklyn,29,29,27,27,303,33,34,28,37,-380,214.5,-8,H,5277,9,W ,,,,,,,,,,,,,,,,,,
34,34,20181020,2019,LAL,HOU,1486.29667,1626.228984,0.442784497,0.557215503,115,124,Houston,31,35,32,26,-160,28,34,35,18,140,237.5,3.5,A,5278,20,L ,,,,,,,,,,,,,,,,,,,34,20181020,2019,LAL,HOU,1486.29667,1626.228984,0.442784497,0.557215503,115,124,Houston,31,35,32,26,-160,28,34,35,18,140,237.5,3.5,A,5278,20,L ,,,,,,,,,,,,,,,,,,
