,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
2,2,20171018,2018,WAS,PHI,1565.684248,1379.575952,0.838481353,0.161518647,120,115,Philadelphia,23,36,23,33,240,32,24,34,30,-300,217.5,-6.5,H,3949,12,W ,,,,,,,,,,,,,,,,,,,2,20171018,2018,WAS,PHI,1565.684248,1379.575952,0.838481353,0.161518647,120,115,Philadelphia,23,36,23,33,240,32,24,34,30,-300,217.5,-6.5,H,3949,12,W ,,,,,,,,,,,,,,,,,,
14,14,20171019,2018,LAL,LAC,1401.216882,1590.817929,0.373838348,0.626161652,92,108,LAClippers,27,26,34,21,-260,19,23,21,29,210,219,6.5,A,3950,2,L ,,,,,,,,,,,,,,,,,,,14,20171019,2018,LAL,LAC,1401.216882,1590.817929,0.373838348,0.626161652,92,108,LAClippers,27,26,34,21,-260,19,23,21,29,210,219,6.5,A,3950,2,L ,,,,,,,,,,,,,,,,,,
13,13,20171019,2018,OKC,NYK,1518.443539,1406.712634,0.771856012,0.228143988,105,84,NewYork,24,18,17,25,650,27,26,26,26,-1000,215.5,-12.5,H,3951,6,W ,,,,,,,,,,,,,,,,,,,13,20171019,2018,OKC,NYK,1518.443539,1406.712634,0.771856012,0.228143988,105,84,NewYork,24,18,17,25,650,27,26,26,26,-1000,215.5,-12.5,H,3951,6,W ,,,,,,,,,,,,,,,,,,
20,20,20171020,2018,BRK,ORL,1400.957921,1400.663642,0.640455176,0.359544824,126,121,orlando,27,28,36,30,110,29,29,31,37,-130,226,-2,H,3953,11,W ,,,,,,,,,,,,,,,,,,,20,20171020,2018,BRK,ORL,1400.957921,1400.663642,0.640455176,0.359544824,126,121,orlando,27,28,36,30,110,29,29,31,37,-130,226,-2,H,3953,11,W ,,,,,,,,,,,,,,,,,,
18,18,20171020,2018,CHO,ATL,1464.878722,1495.640387,0.598343533,0.401656467,109,91,Atlanta,28,28,17,18,160,18,31,35,25,-190,205.5,-4.5,H,3954,5,W ,,,,,,,,,,,,,,,,,,,18,20171020,2018,CHO,ATL,1464.878722,1495.640387,0.598343533,0.401656467,109,91,Atlanta,28,28,17,18,160,18,31,35,25,-190,205.5,-4.5,H,3954,5,W ,,,,,,,,,,,,,,,,,,
22,22,20171020,2018,DAL,SAC,1431.960077,1415.477076,0.661621837,0.338378163,88,93,Sacramento,19,27,25,22,200,23,23,14,28,-250,201.5,-6,A,3955,8,L ,,,,,,,,,,,,,,,,,,,22,20171020,2018,DAL,SAC,1431.960077,1415.477076,0.661621837,0.338378163,88,93,Sacramento,19,27,25,22,200,23,23,14,28,-250,201.5,-6,A,3955,8,L ,,,,,,,,,,,,,,,,,,
16,16,20171020,2018,IND,POR,1506.960938,1556.698763,0.571832669,0.428167331,96,114,Portland,31,31,29,23,-230,25,27,21,23,185,218.5,6,A,3956,4,L ,,,,,,,,,,,,,,,,,,,16,20171020,2018,IND,POR,1506.960938,1556.698763,0.571832669,0.428167331,96,114,Portland,31,31,29,23,-230,25,27,21,23,185,218.5,6,A,3956,4,L ,,,,,,,,,,,,,,,,,,
17,17,20171020,2018,MIL,CLE,1521.060269,1650.129184,0.458263809,0.541736191,97,116,Cleveland,25,30,31,30,-105,25,24,24,24,-115,209.5,-1,A,3957,11,L ,,,,,,,,,,,,,,,,,,,17,20171020,2018,MIL,CLE,1521.060269,1650.129184,0.458263809,0.541736191,97,116,Cleveland,25,30,31,30,-105,25,24,24,24,-115,209.5,-1,A,3957,11,L ,,,,,,,,,,,,,,,,,,
21,21,20171020,2018,MIN,UTA,1470.670203,1585.464915,0.478721558,0.521278442,100,97,Utah,16,26,23,32,170,19,27,24,30,-200,197,-5,H,3958,10,W ,,,,,,,,,,,,,,,,,,,21,20171020,2018,MIN,UTA,1470.670203,1585.464915,0.478721558,0.521278442,100,97,Utah,16,26,23,32,170,19,27,24,30,-200,197,-5,H,3958,10,W ,,,,,,,,,,,,,,,,,,
23,23,20171020,2018,NOP,GSW,1480.349927,1751.819016,0.27149408,0.72850592,120,128,GoldenState,26,35,37,30,-470,39,25,26,30,360,221,9,A,3959,2,L ,,,,,,,,,,,,,,,,,,,23,20171020,2018,NOP,GSW,1480.349927,1751.819016,0.27149408,0.72850592,120,128,GoldenState,26,35,37,30,-470,39,25,26,30,360,221,9,A,3959,2,L ,,,,,,,,,,,,,,,,,,
19,19,20171020,2018,PHI,BOS,1377.726038,1516.846392,0.443938007,0.556061993,92,102,Boston,24,22,23,33,130,21,29,22,20,-150,217,-3,A,3960,2,L ,,,,,,,,,,,,,,,,,,,19,20171020,2018,PHI,BOS,1377.726038,1516.846392,0.443938007,0.556061993,92,102,Boston,24,22,23,33,130,21,29,22,20,-150,217,-3,A,3960,2,L ,,,,,,,,,,,,,,,,,,
24,24,20171020,2018,PHO,LAL,1355.66018,1391.408667,0.591425498,0.408574502,130,132,LALakers,40,30,36,26,140,36,37,26,31,-160,220.5,-3.5,A,3961,10,L ,,,,,,,,,,,,,,,,,,,24,20171020,2018,PHO,LAL,1355.66018,1391.408667,0.591425498,0.408574502,130,132,LALakers,40,30,36,26,140,36,37,26,31,-160,220.5,-3.5,A,3961,10,L ,,,,,,,,,,,,,,,,,,
15,15,20171020,2018,WAS,DET,1567.534162,1464.992663,0.762407214,0.237592786,115,111,Detroit,31,34,16,30,230,29,29,33,24,-280,211.5,-6.5,H,3962,12,W ,,,,,,,,,,,,,,,,,,,15,20171020,2018,WAS,DET,1567.534162,1464.992663,0.762407214,0.237592786,115,111,Detroit,31,34,16,30,230,29,29,33,24,-280,211.5,-6.5,H,3962,12,W ,,,,,,,,,,,,,,,,,,
28,28,20171021,2018,CHI,SAS,1488.285289,1620.11748,0.454317547,0.545682453,77,87,SanAntonio,19,22,24,22,-600,21,17,17,22,447,200.5,10,A,3963,13,L ,,,,,,,,,,,,,,,,,,,28,20171021,2018,CHI,SAS,1488.285289,1620.11748,0.454317547,0.545682453,77,87,SanAntonio,19,22,24,22,-600,21,17,17,22,447,200.5,10,A,3963,13,L ,,,,,,,,,,,,,,,,,,
29,29,20171021,2018,CLE,ORL,1664.288377,1395.979011,0.892847156,0.107152844,93,114,orlando,36,20,32,26,588,18,27,20,28,-850,216,-11.5,A,3964,0,L ,,,,,,,,,,,,,,,,,,,29,20171021,2018,CLE,ORL,1664.288377,1395.979011,0.892847156,0.107152844,93,114,orlando,36,20,32,26,588,18,27,20,28,-850,216,-11.5,A,3964,0,L ,,,,,,,,,,,,,,,,,,
34,34,20171021,2018,DEN,SAC,1534.236691,1425.746179,0.768554643,0.231445357,96,79,Sacramento,18,16,18,27,588,17,25,24,30,-850,212.5,-12.5,H,3965,3,W ,,,,,,,,,,,,,,,,,,,34,20171021,2018,DEN,SAC,1534.236691,1425.746179,0.768554643,0.231445357,96,79,Sacramento,18,16,18,27,588,17,25,24,30,-850,212.5,-12.5,H,3965,3,W ,,,,,,,,,,,,,,,,,,
26,26,20171021,2018,HOU,DAL,1588.772903,1421.690973,0.823093313,0.176906687,107,91,Dallas,20,19,19,33,588,33,29,30,15,-850,216,-11.5,H,3966,3,W ,,,,,,,,,,,,,,,,,,,26,20171021,2018,HOU,DAL,1588.772903,1421.690973,0.823093313,0.176906687,107,91,Dallas,20,19,19,33,588,33,29,30,15,-850,216,-11.5,H,3966,3,W ,,,,,,,,,,,,,,,,,,
